,IGKC,MS4A1,CD74,LRMP,IGJ,FCER1G,CCL4,TRBC2,HLA-DRA,CD83,CD52,IGHG1,CCL3,CD63,RGS2,CD69,RGS1,IFITM2,S100A4,GPR183,group
BC01_50,0.667829373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.856395721,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BC01_74,0.0,0.09531018,0.916290732,0.0,0.625938431,0.0,0.512823626,0.0,0.21511138,0.182321557,0.0,0.0,1.2412685890000001,5.0980354839999995,0.476234179,0.0,0.0,0.0,0.0,0.0,1.0
BC04_08,1.832581464,0.148420005,5.2035120589999995,0.0,0.0,0.0,0.0,0.0,2.00148,0.688134639,0.0,0.0,0.0,6.02458496,7.291451829,0.412109651,0.488580015,5.754031891,5.879051443,0.565313809,1.0
BC04_21,2.8160073430000003,0.0,9.068243255,0.0,0.0,0.0,6.00418332,0.0,8.668257972000001,6.33368807,5.99238912,0.0,0.0,6.148810117999999,7.737402566,0.39877612,8.666748757999999,0.0,0.737164066,5.231963866,1.0
BC04_35,2.520917087,0.0,8.503889082999999,0.0,0.300104592,9.043094996,1.105256831,0.604315967,8.379169438,5.211724084,7.852913312,4.498475447,0.336472237,7.07097896,0.667829373,0.139761942,0.815364813,0.0,4.029272565,5.441984716,1.0
BC04_62,0.0,0.0,6.47998321,0.879626748,0.6626879729999999,0.0,0.0,4.906681196,6.577012597,0.09531018,0.703097511,0.0,0.0,0.0,6.313910299,5.505046942999999,2.577941516,5.060187073,3.905401129,4.83142888,1.0
BC04_66,0.625938431,0.8415671859999999,6.122865547000001,5.295162395,0.0,0.0,0.0,4.441591872,4.873134128,4.325191698,6.801327527000001,0.0,0.0,7.1185995029999996,3.257327011,5.9023327420000005,7.22500829,4.848665233999999,6.0690503929999995,0.29266961399999997,1.0
BC04_72,0.0,0.076961041,8.658571219,0.0,0.371563556,6.4799678720000005,8.458580544,0.425267735,9.101984263,5.859674495,6.411309107,0.0,9.843911631000001,7.800953418,8.240234747999999,0.636576829,7.956525851,6.23036333,6.277000567999999,5.154793356,1.0
BC04_89,0.0,0.0,6.603130486,5.269609202,0.38526240100000003,0.0,0.0,6.277376303,5.569641372,4.979832385,6.966335459,0.0,0.0,4.783232686,5.173830661,3.2371085930000003,5.707110265,6.501619946,6.110979416,0.0,1.0
BC04_96,0.0,0.0,7.89454548,3.8577779910000003,1.1216775620000001,0.0,0.0,7.098334315,7.612480177999999,5.476254325,5.234098793999999,0.0,1.16938136,5.627944802000001,6.92037531,6.201421537000001,8.255477716,6.195506825,6.767837825,0.343589704,1.0
BC07_03,7.909368295,0.207014169,8.960728351,3.637849283,8.474815821,6.1141687870000005,0.0,6.330344597000001,7.679662807000001,5.71052635,7.264583211000001,0.0,0.698134722,0.0,0.90016135,1.17557333,4.191471273,6.212946719,1.05431203,5.191845122,1.0
BC07_04,1.004301609,0.97455964,10.11878279,4.368941395,0.604315967,7.894888371,8.075694606,4.898063655,10.25739337,7.456026965,7.734930604,0.0,7.17814113,6.210720552000001,7.912456076000001,5.356208845,8.403004937,5.8132943610000005,6.598195627999999,6.861177166,1.0
BC07_07,0.0,0.0,2.42568729,0.0,0.0,0.0,0.0,0.0,1.845300236,0.8501509290000001,1.181727195,0.0,0.0,7.107671143999999,0.378436436,1.1314021109999999,1.391281903,6.023592861,0.0,6.149770866,1.0
BC07_09,1.355835154,1.40854497,9.603670819,4.8171314480000005,0.0,7.611614876,7.247365444,6.339883,9.438533552,5.8624088379999995,6.662928332999999,0.0,9.054095835,7.17527546,6.486800828,4.1766923039999995,7.093172041,6.714837782999999,6.491982226,7.3978739870000005,1.0
BC07_16,0.815364813,0.412109651,7.200238307999999,7.713561277999999,0.26236426399999996,0.0,0.0,8.003376432,6.362441725,1.0784095809999998,4.527424837,0.0,0.0,6.619819841,6.493345284,1.8000582719999998,6.36373475,6.362424473,0.0,0.0,1.0
BC07_23,0.8501509290000001,0.157003749,7.148683737000001,0.0,0.0,0.0,0.0,0.0,5.95994808,1.229640551,0.9707789170000001,0.0,0.0,3.305053521,0.693147181,1.373715579,1.196948189,4.7389140560000005,0.0,0.425267735,1.0
BC07_30,0.727548607,0.75612198,7.852878336,5.078667704,0.198850859,0.0,0.0,6.760449453,7.825680674,0.916290732,7.503702996,0.0,5.30529298,5.718079779,8.282619565,7.3621311789999995,8.111898069,6.481714945,4.9734870980000006,0.806475866,1.0
BC07_42,1.05431203,0.0,2.1126345090000003,0.0,0.0,0.0,0.0,0.0,2.295560478,0.90825856,2.111424588,0.0,0.0,5.574091318,1.378766095,0.565313809,1.0577902940000001,6.384688369,0.0,0.559615788,1.0
BC07_44,1.93874166,1.269760545,9.028938392,0.966983846,0.378436436,0.0,0.0,0.0,8.365998139,0.39877612,0.0,0.806475866,0.0,6.081190985,0.8415671859999999,1.337629189,1.208960346,5.386145077,0.0,0.322083499,1.0
BC07_50,0.712949808,0.122217633,10.37904044,2.382320061,0.0,0.0,0.0,0.0,9.952131516,7.1351059679999995,7.62432109,0.0,0.0,6.01630349,5.380864627999999,0.9895411940000001,6.932291782,6.154220948,0.0,4.267737488,1.0
BC07_52,2.382320061,0.8919980390000001,5.768133477999999,0.0,1.004301609,0.0,0.0,0.0,2.303584593,0.815364813,0.0,0.0,0.0,7.449102347999999,5.621957623999999,1.3711807230000002,1.226712291,5.351952916,4.757204342,0.0,1.0
BC07_55,0.0,0.0,7.364306327,0.0,1.311031877,0.0,0.7793248770000001,5.339315346,3.131136911,0.0,0.0,0.0,0.854415328,6.954696115,4.800654729,1.769854634,0.652325186,7.046212022000001,0.0,0.678033543,1.0
BC07_56,6.840022328,4.591071262,8.946797914,6.8850596710000005,0.0,0.0,0.0,6.771580395,9.007201633,7.097242766,7.656143202000001,3.8846518089999997,0.0,3.20720802,6.653972092,8.157370441,6.122646307,5.769101941000001,6.558438907999999,5.700878262000001,1.0
BC07_58,4.784654388,0.0,2.2246235519999997,0.0,2.383242996,0.0,0.0,0.0,0.418710335,1.7630169999999998,0.0,3.549617387,0.0,0.0,1.376244025,1.061256502,1.101940079,4.813809051000001,1.085189268,0.31481074,1.0
BC07_60,0.0,5.257859889,8.476221186,5.7751103960000005,0.0,0.0,5.903425369,6.65935802,8.529489284,6.419815759,7.466124576,0.737164066,0.0,0.0,6.553349187999999,7.796275968,7.6031399539999995,5.477007337000001,6.765673147,6.684224153,1.0
BC07_61,2.656054906,0.636576829,8.769901759,5.122593994,0.0,1.08180517,0.667829373,6.619326261,8.664804249,3.747148362,6.95847691,1.6639260980000001,5.13444458,4.17776617,6.2147480889999995,6.722822315,7.831875282,5.237080057,6.13222599,0.0,1.0
BC07_63,9.308721287000001,7.3965131920000005,8.697481015,7.24943536,0.0,0.0,0.0,0.0,8.231519767,6.832988628,6.954419375,5.0226956089999995,0.0,0.828551818,8.019191653,5.780156924,7.678751995,0.0,0.0,0.0,1.0
BC07_68,7.782523771,4.450969505,8.909321762000001,0.457424847,0.0,0.0,0.0,0.0,9.229921406,7.110271543,6.441424895,0.364643114,0.0,4.663156035,7.028954693999999,7.601312376,7.07572433,0.625938431,0.0,6.80886269,1.0
BC07_69,0.854415328,0.0,8.537123262,5.836534397,0.0,0.0,0.0,6.137856635,8.535455417,7.340342566,5.944189485,0.357674444,0.0,7.168934226,8.173823622999999,6.639823545,8.832701497999999,5.961778237000001,4.592084946,3.7143035060000003,1.0
BC07_79,0.0,0.198850859,9.624426875,5.44548659,0.0,5.649185482999999,0.0,0.0,10.1535616,7.062422968,8.917856121,0.0,0.0,6.908794739,8.745448456,0.879626748,8.933573182,0.0,0.0,7.9511050029999994,1.0
BC07_80,1.011600912,6.6213124379999995,8.236280157000001,4.952299717,0.0,0.88376754,0.0,0.6729444729999999,9.098534686,2.653945942,7.120719192999999,0.0,0.0,0.0,7.9226090760000005,1.32972401,7.957709395,4.717694977,0.0,1.406096988,1.0
BC07_83,5.018603464,0.75612198,10.00539953,0.13102826199999998,0.0,8.224117935,0.0,0.40546510799999996,10.05686636,7.114899521,2.036011984,5.760320326,0.0,5.8123079760000005,7.152362822000001,5.304249735,8.240129214,7.576353587000001,7.081649761,9.122153759,1.0
BC07_93,7.628254946,5.518536646,9.376865317,4.601362948,9.044798053,3.544720358,0.0,0.470003629,8.237114143,7.006350965,5.458265494,0.0,0.0,4.343415736,6.4901315539999995,3.9535487519999997,6.9060037460000006,4.3925955860000006,5.711254489,8.330147693999999,1.0
BC07_95,0.0,1.249901736,7.70428001,1.517322624,0.329303747,0.0,0.0,0.641853886,2.568021556,5.154677916,1.105256831,1.128171091,0.0,7.719107628,6.299224944,1.181727195,1.220829921,6.409911688999999,0.0,0.951657876,1.0
BC07LN_03,8.851102146,7.347389903,9.272182135,7.4219432439999995,5.241958633,0.0,3.4407385560000003,0.708035793,9.397340965,7.618752201,8.223388413,7.617621907,0.0,4.730127425,7.269198835,0.732367894,8.233736845,6.074817156,0.0,6.577583155,1.0
BC07LN_04,7.028236892000001,8.297010253,9.078383739,6.338982695,0.0,0.0,0.0,0.0,9.416800729,8.249023507999999,8.953596086000001,2.725890119,0.0,0.7466879470000001,8.910688277,9.293023897000001,9.255993239,7.886889346,0.0,6.486099811,1.0
BC07LN_05,8.285404882,7.219210029,8.894232762,6.2255282560000005,0.438254931,0.0,0.0,5.757196851000001,8.941214399,7.849791727,8.464395608,3.844600329,0.0,5.39983551,7.224389173,8.455239061,8.060581094,5.635396562,3.884240624,5.159916997,1.0
BC07LN_10,0.0,0.0,2.209372711,0.463734016,0.0,0.0,0.0,0.0,1.8017098000000003,0.837247525,0.0,0.0,0.0,7.371967167999999,5.144291679,0.91228271,0.693147181,6.578069959,7.279042935,0.0,1.0
BC07LN_16,6.641978197,6.055565473,7.82158298,7.676937146,6.5683166470000005,0.0,5.689751161,5.955915087,8.15737904,0.0,7.07819823,0.506817602,0.0,0.0,7.429455559,0.3074847,2.592265168,0.896088025,0.0,0.530628251,1.0
BC07LN_18,8.727390906,7.844342634,9.409296142999999,6.964003279,6.104436026,0.0,4.375127893,0.0,9.457622236,7.905301521,8.282905272,4.0804146569999995,0.0,2.788708104,7.954870744,8.383723511,7.271682858999999,5.620400866000001,5.511854927999999,6.989749927,1.0
BC07LN_19,8.33562575,7.497745071000001,9.183980996,6.117854877999999,3.993971588,0.0,6.428024494,5.975970126,9.095521938,7.0380464279999995,8.303031681,3.967646909,7.125419848,3.0796137580000003,8.236822989,7.645837584,7.383939767,6.085341883,4.843635753,8.143465094,1.0
BC07LN_22,8.540706572000001,7.267246254,9.043751997000001,6.8370216070000005,4.636378113,5.52589109,3.419364686,0.7654678420000001,9.554452635,7.864312331,7.3488706310000005,6.420141497,1.16938136,6.341716407000001,8.331159955,0.604315967,6.873898554,0.0,4.653198155,6.035481432999999,1.0
BC07LN_27,6.601352394,8.381891089,8.912087963,6.869928793,2.129421474,0.0,0.0,5.517171732,9.380569104,7.16760099,8.525054212,4.349374302,0.0,6.693013831,7.727041597,7.844338714,7.4582726589999995,5.981388957999999,0.0,7.39135358,1.0
BC07LN_49,6.544472839,6.8176992720000005,8.834022331,7.88851453,7.761314922,0.0,0.0,1.1216775620000001,8.044963085,7.630834977999999,6.3787996279999994,3.3513066119999997,0.688134639,4.220095768,8.007996241,7.5643266460000005,7.149461473,5.22692877,0.0,6.310536269,1.0
BC07LN_50,0.0,7.538053177999999,8.413411429,7.766641449,7.98090274,0.0,2.305580602,0.0,8.207467262,7.141237205,6.7798878160000005,4.508328835,0.717839793,0.0,6.925339762,0.329303747,0.678033543,0.0,0.0,0.0,1.0
BC07LN_53,6.0850459610000005,4.8961219069999995,5.607932149,0.0,0.0,5.07072644,4.046553898,4.21153483,6.38753567,6.98649252,0.0,0.0,0.657520003,6.835302859,7.124462159,8.237532197,8.297461314,5.494007497999999,0.0,3.102791346,1.0
BC07LN_54,0.9895411940000001,0.270027137,7.31052342,6.362441725,0.0,0.0,0.0,7.765170359,7.683389869,0.620576488,6.853953578,0.0,0.0,0.815364813,6.544904159,7.3445640029999995,0.598836501,5.451124287000001,0.97455964,4.330601753,1.0
BC07LN_59,10.46608745,0.832909123,8.412405845,5.43087954,0.0,0.0,8.694291129,4.591983624,5.901102107000001,6.761329684,7.913349093,5.287711321000001,0.0,0.0,7.125741554,6.789613429,8.60055776,5.852173744,5.956433047000001,7.392006921,1.0
BC07LN_62,7.589689832,5.00354354,9.081187949,6.277019359,0.8501509290000001,0.0,0.0,5.74779936,9.75827448,6.925742533999999,8.017874442,2.794227897,0.0,3.961384435,8.141740181,6.504348052,7.4489510260000005,6.5287324710000005,5.081404365,7.900588446,1.0
BC07LN_64,0.0,6.178130819,8.854974571,5.214011417,6.915376166000001,0.0,0.0,5.516729743,9.36480843,8.399562143999999,7.376195186,0.0,0.0,0.0,7.764312991000001,9.400907838,6.074587123,7.462433181000001,0.0,6.507352336,1.0
BC07LN_67,6.589943842,8.138944338,8.951964643,6.719037309,0.31481074,0.0,0.0,6.3929885660000005,9.480404913,7.880562441,8.67870131,6.087433601,3.680090948,0.0,9.168730567,8.746132714,8.895663873,5.9240151270000005,5.3155185739999995,7.98261776,1.0
BC07LN_68,6.141736285,6.43456257,9.08872174,5.347155149,0.0,0.0,0.0,4.436869871,8.489112596,7.296284447000001,8.726340044,6.21027874,0.0,0.0,8.6078544,8.399379905,8.558258356,5.115775786,2.347558459,7.503251041,1.0
BC07LN_71,2.545531272,7.028423039,8.813146959,7.601177422,7.419626356,0.0,2.13771045,4.807376066000001,8.63817289,6.784932062999999,8.566263316,4.475061501,4.726856703999999,5.285130805,8.77319108,5.924068613999999,7.887152257,4.356452384,0.0,5.496553282000001,1.0
