,MGP,PIP,SCGB2A2,MUCL1,GSTP1,HLA-DRA,CD74,LDHB,TFF3,SLPI,APOD,PPP1R1B,PPP1R14C,IFITM2,S100P,RN7SL56P,SEPP1,AGR2,MRPL45,TFF1,RBP1,PLEKHA5,CEACAM6,SNCG,MIEN1,TM4SF1,MT1G,MGST1,RP11-658F2.8,AGR3,HLA-B,GSTM3,HLA-A,MDK,CLU,ARHGDIB,ORMDL3,TMEM45A,TCEAL1,CISD3,AZGP1,group
BC01_02,0.0,0.0,0.0,0.0,0.0,0.40546510799999996,0.0,7.585372491,3.783734985,6.175139355,0.0,0.0,0.0,3.7556030860000003,0.0,0.0,5.795419249,0.0,4.585783472,5.682013916,0.0,0.78845736,0.0,0.0,5.603998971,1.137833002,3.893044039,6.322690905,5.0704752939999995,1.398716881,3.4001968810000003,5.303553633,2.3997118040000003,0.0,5.922382386000001,0.0,3.486151088,0.0,3.222070716,4.20185277,6.1771969470000005,1.0
BC01_03,0.0,0.0,3.9500892060000004,0.0,0.0,0.29266961399999997,0.536493371,7.354055182000001,1.022450928,3.921973336,0.0,0.0,0.0,1.846878768,0.0,0.0,4.357862008,1.226712291,2.952302716,4.5144793210000005,0.0,0.157003749,0.0,0.0,3.706228092,0.488580015,4.001315113,6.3706027910000005,5.21123326,0.0,1.667706821,4.783065294,3.5380565639999997,0.0,6.653920535,4.108083088,0.0,0.0,3.6264719939999996,4.292512127,4.97996988,1.0
BC01_04,0.0,0.0,0.0,0.0,0.6729444729999999,0.0,0.0,6.708108504,1.247032294,1.589235205,0.0,0.0,0.0,0.0,0.0,5.319295773,0.0,0.90825856,4.78180896,0.91228271,0.0,0.0,0.0,0.0,5.784009781,1.026041596,0.0,5.86087169,5.766600767000001,0.0,3.406516543,4.046204187,2.475697711,0.0,4.469121342,0.0,2.179286877,0.0,3.7407600760000004,4.051784948,2.088153482,1.0
BC01_05,0.0,0.0,0.0,0.0,1.1537315879999999,0.0,0.0,6.896876317,2.598979106,4.568609931,0.0,0.0,0.207014169,4.08933202,0.0,0.0,4.357990057,0.0,5.2432274,4.34133484,0.0,0.0,0.0,0.0,5.331607064,2.858766418,5.976604684,5.91396236,5.312072332,0.0,3.54702783,5.134267855,0.0,0.0,5.5811250789999995,0.0,3.055415276,0.0,0.0,4.839055834,6.259849115,1.0
BC01_06,0.0,0.0,0.0,0.0,0.631271777,0.0,0.703097511,6.396579593999999,0.0,5.110540959,0.0,0.0,0.0,0.0,0.0,5.985873949,3.610377226,5.676890779,4.822697999,0.0,0.0,0.0,0.0,0.0,4.997279839,1.0331844829999999,0.0,5.72342169,5.1742835860000005,0.0,2.8367365419999997,4.801723325,0.570979547,3.615770982,4.859424732,0.0,0.0,0.0,3.784644076,1.244154594,6.4952655560000006,1.0
BC01_08,0.0,0.0,0.0,0.0,0.693147181,0.322083499,4.158570535,6.747199127999999,0.0,3.7644506410000003,0.0,0.0,0.0,0.0,0.0,0.0,5.061645215,5.070914758,1.45395301,0.0,0.0,2.6261168180000003,0.0,0.0,2.054123734,0.40546510799999996,5.981515216,6.291346892999999,5.439122243,0.0,2.7324175580000003,5.951527577999999,2.171336806,0.0,7.200208452,0.0,1.232560261,0.0,0.570979547,4.319486116,4.9498939989999995,1.0
BC01_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198458391,8.554392632,5.406857821,0.0,0.0,0.0,5.179364897,0.0,0.0,5.935978264,7.957219339,3.621938048,10.88995376,0.0,0.797507196,0.0,0.0,4.80213402,6.766306915,5.471598179,6.9862059510000005,6.616319504,4.1988547160000005,4.881816589,7.030008308999999,5.80495423,0.0,8.597136817,0.0,1.6174060819999998,0.0,4.672548421,2.209372711,5.9194313439999995,1.0
BC01_12,0.0,0.0,0.0,0.0,0.0,0.22314355100000002,0.609765572,6.951274432999999,5.266929893,5.347869145,0.0,0.0,0.0,5.732726201,0.0,2.366498419,5.752953519,7.795831703999999,1.2947271679999999,9.104823177,0.0,0.0,0.246860078,0.0,4.312408568,8.077431626000001,2.547881449,6.802328094,0.104360015,0.0,5.420092423,3.027715319,4.992946431,2.386926241,0.0,0.0,0.0,0.0,4.641502115,1.011600912,6.644362486,1.0
BC01_33,0.0,0.0,0.0,0.0,0.0,0.22314355100000002,1.808288771,6.961362394,6.0144483829999995,5.281171208,0.0,0.0,4.057853454,5.6887365160000005,4.046204187,4.101651137,4.158726821,7.232234457000001,4.257454983,7.783536467999999,0.0,1.859418118,0.104360015,2.091864062,5.54094977,7.689393991,0.9593502209999999,7.841414305,0.0,0.0,3.5675589189999997,6.432007182,5.128477587,0.0,7.2725581020000005,4.637830968,4.578826211,0.0,3.6648428760000002,3.0777729839999997,6.150517477,1.0
BC01_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.129121251,8.800303831,1.5871923030000001,0.0,0.0,0.0,4.615417502,0.0,0.0,5.452067966,8.288139711,4.664004972,9.576512178,0.0,0.542324291,0.0,0.0,3.370738174,5.8950637729999995,5.811978965,7.095495462000001,3.91442013,5.420490751,4.9961306080000005,7.015559806000001,5.418807845,0.0,4.457018145,0.0,2.5463152780000002,0.0,2.265921109,3.583241122,5.674182005,1.0
BC01_53,0.0,0.0,0.0,0.0,0.0,0.343589704,1.220829921,7.119174367,0.0,5.426006728,0.0,0.0,0.0,0.0,0.0,0.0,6.325898995,0.0,4.555034116,7.03325072,0.0,1.313723668,0.418710335,0.0,4.541484634,3.338257582,5.025392535,6.267124644,5.465356066,0.0,3.499231122,5.195232038,2.885917408,0.0,6.227800692000001,0.0,3.532810268,0.0,5.807992329,4.903346996000001,5.131495073,1.0
BC01_55,0.0,0.0,0.0,0.0,1.3029127520000001,0.0,0.837247525,6.690382543999999,4.146778872,4.702750514,0.0,0.0,0.0,0.0,0.0,0.0,3.19703913,3.448398983,2.910174385,6.307278433,0.0,0.418710335,0.0,0.0,5.039870419,1.026041596,3.7000666439999996,7.073362932999999,5.095895138,0.0,2.034705648,5.25248283,3.997099178,0.0,6.358292772,0.270027137,0.0,0.0,0.0,3.753730426,5.814637866,1.0
BC01_57,0.0,0.0,0.0,4.469121342,0.0,1.497388409,1.678963975,6.662787809,6.972521899,0.0,0.0,0.0,0.0,5.2833560010000005,0.0,0.0,6.239924906000001,3.798854307,3.9869449319999997,9.854095607,0.0,3.896706301,0.31481074,0.0,2.838493497,8.368939093,4.32267464,7.47048621,3.9629062160000004,5.950955004,5.106733042,5.538986445,5.18503668,2.9177707319999997,6.415800476,0.0,1.264126727,0.0,0.39877612,4.1916225019999995,5.570022484,1.0
BC01_66,0.0,0.0,0.0,0.0,1.2412685890000001,0.0,0.0,7.620072534,0.0,4.561740628,0.0,0.0,0.0,0.0,0.0,4.734178867,5.281628885,1.040276712,3.717709836,0.0,0.0,3.471655845,0.0,0.0,5.848431009,0.0,6.174993708,6.28426475,5.18430845,0.0,1.819698838,5.76522245,2.238579763,0.0,6.198702269,0.0,0.0,0.0,4.246063717,2.135349174,4.497807668,1.0
BC01_69,0.0,0.0,0.0,0.0,0.0,0.0,0.39204208799999996,6.990238084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191678256,3.933980173,3.496507561,3.6068556189999996,0.88376754,0.0,0.0,0.0,0.0,4.933466231000001,0.463734016,7.946359214,7.657542684,0.88376754,0.0,3.311637305,4.406841191,2.906354462,0.0,7.13320018,0.0,3.140265424,0.0,3.466672964,4.316821225,5.635682062000001,1.0
BC01_70,0.0,0.0,0.0,0.0,1.0715836159999999,0.0,0.0,7.009977877000001,8.539398812,2.066862759,0.0,0.0,0.0,4.559440334,0.0,0.0,5.891809943999999,7.868139447999999,4.603168183,9.399211268,0.0,2.9365129139999997,0.0,0.0,4.496916601000001,6.8876444039999996,2.441477092,7.434281008999999,4.9623550000000005,3.875151531,4.669927433,6.322529332999999,5.099012405,0.0,4.1496215780000005,0.0,3.2999026639999998,0.0,4.224056169,2.3617969530000003,6.597786697,1.0
