,MGP,CTTN,SSR4,NDUFC2,CLU,S100A11,NDUFS5,AGR2,MGST1,TFF3,SRP9,EGR1,DYNLT1,TXNDC17,MIF,MT1X,SOX4,PPFIA1,AZGP1,HLA-DRA,PSENEN,KRT19,CD9,HLA-B,TM4SF1,KRT7,SCGB2A2,MT2A,S100A16,ERGIC3,KRTCAP2,PPAPDC1B,UQCRQ,EFNA1,ARF4,CD24P4,PPA1,CD63,POLR2K,ATRAID,CD46,group
BC04_02,0.0,5.757102047999999,0.0,0.0,0.896088025,6.029169689,2.77695418,6.201299936,4.748577649,3.5094537000000003,0.819779831,5.666184444,5.6101675239999995,4.907420623,5.3809567000000005,5.3882951729999995,6.398395247000001,6.327383059,0.0,7.075233889,2.8069901489999998,1.247032294,6.077229313999999,6.031430175,4.602366259,5.663758773,0.0,4.7774414069999995,3.4849255969999997,1.0331844829999999,1.134622726,2.8758219769999998,4.986274293,6.00657481,2.577941516,3.114403803,4.451202823,3.1998968580000002,4.823823672,2.1916535319999997,3.9543159180000003,2.0
BC04_11,0.0,5.327147748,6.334717315,1.7047480919999998,0.896088025,3.555633735,5.010435274,5.31502698,7.020878586,5.009901692,2.409644165,3.1276373439999996,5.21210567,5.369008795,5.690528359,3.799973502,4.5011421160000005,5.959483564,6.662033752999999,0.6729444729999999,5.137032969,1.196948189,4.4687775610000005,4.8243057160000005,6.388157962999999,5.31556772,0.0,4.107096246,4.6467918610000005,3.875773873,1.894616855,0.978326123,3.9723652339999997,1.043804052,3.141994781,4.157006323,1.137833002,5.150107339,4.708268144,0.0,5.508132487999999,2.0
BC04_14,1.280933845,5.9324573670000005,0.0,0.0,0.343589704,4.8975412480000005,0.609765572,3.174714929,2.72850621,3.185939325,2.857044754,3.28578653,6.566067465,6.346618335,5.89937667,5.846987757000001,4.703294584,6.0426565860000006,0.0,6.108580694,0.0,2.894806355,4.047951523,6.726676949,3.080073422,4.910962278,0.0,3.942940108,1.8017098000000003,2.887590115,0.0,5.0226956089999995,4.054737108,6.338399712999999,0.0,0.0,5.132616911,3.806440243,0.683096845,3.476304854,1.8991179880000002,2.0
BC04_16,0.824175443,7.689009486000001,7.0500618070000005,0.0,0.300104592,7.180146033,6.142359934,5.758744032999999,6.751569196,6.601433902,7.01534431,6.15009091,7.111601835,7.695862578,7.121567428,5.824789936,6.787923897000001,5.009568058,4.758663507,5.985572221,5.180378069,0.0,5.78188484,7.431483308,3.887730313,5.360822572,0.0,6.3634762789999995,4.878854748999999,5.368029979,0.0,2.159868791,4.4119494480000006,0.0,3.5539184689999996,6.105641087,1.3029127520000001,4.006059647,5.969218937999999,6.3175797629999995,5.133383759,2.0
BC04_22,0.0,5.750475203,3.5380565639999997,0.0,4.067144642,5.525652122,5.558872302999999,6.682233902999999,3.292497965,5.4161004020000005,0.620576488,1.2412685890000001,7.337997549,4.0815969889999995,2.413231613,5.046967223,4.832146383,5.22224593,2.259677592,4.873210618,0.0,4.248638089,6.665416166,6.194405391,6.061550155,5.838633829,0.0,1.026041596,4.1774594689999995,0.0,1.2383742309999999,3.969914484,5.395943045,0.0,6.525879736,3.5452977260000003,4.893502047,3.3530570060000002,0.0,3.69535842,3.8590440810000004,2.0
BC04_28,1.6253112619999999,5.38114082,3.481855285,5.268476525,0.6729444729999999,5.2962652619999995,3.061988069,5.833201255,0.0,6.534849322,3.518684077,5.367843429,5.2030171869999995,5.585786916,3.6519561,5.3249592969999995,5.619784734,4.653007515,4.285791027,5.271151698,0.0,1.098612289,4.1946422839999995,6.182931656,2.164471791,3.017982882,0.0,5.056054704,3.769537357,4.997279839,0.0,5.7205740370000004,4.535820108,2.1690537,2.54474665,0.0,4.773984259,5.641268569,0.722705983,0.9895411940000001,4.76046307,2.0
BC04_30,0.0,5.273153393,5.723127481000001,0.0,0.0,5.897098921,0.418710335,4.924132878,0.0,6.300712397000001,3.985645145,2.305580602,3.552773321,7.41255277,2.933324813,6.485886361,5.79145752,0.076961041,0.0,5.617752434,0.0,0.0,6.730206315,3.483698603,6.0935020479999995,0.0,0.0,5.129780365,5.924442946,7.006812974,4.131800899,0.0,5.397936432000001,1.068153081,0.0,0.0,4.975836789,0.0,0.343589704,6.7052963189999994,5.870002878999999,2.0
BC04_54,0.0,6.468148935,0.982078472,0.0,4.277776613,6.166467722999999,5.631641797,4.897914424,1.8099267730000002,5.639634987999999,4.6026670560000005,2.72392355,0.90825856,1.7595805709999999,4.425684604,4.138042417,6.024730063,5.7951454810000005,2.12704052,2.48906466,0.0,3.5562048369999997,4.140910031000001,6.374036256,6.02827852,4.657952371,0.0,3.313458467,6.178234528,0.0,4.759692225,4.220389668999999,5.35512294,6.358050217000001,5.906423954,0.0,2.402430428,5.5663577989999995,0.0,4.85522827,5.258328358,2.0
BC04_61,0.0,4.913904105,6.799791377000001,3.728821061,0.576613364,6.916090445,1.785070481,5.836855429,2.2945529209999997,6.493405822000001,5.928817569,4.455393261,5.845137351,3.187178738,4.271234729,5.485667922999999,6.307241972999999,3.6293948069999997,3.066190737,0.357674444,0.0,1.004301609,6.751849727000001,6.227070124,6.659268278,2.754297452,7.1723324779999995,4.400725712,6.845113624,5.009768252,1.909542505,4.941356667,4.636475036,3.290638191,5.945630011,5.52855569,6.686522401,3.899545484,4.767459089,0.797507196,3.649358696,2.0
BC04_91,5.968963282000001,5.979316052000001,4.941642423,0.0,3.5269485869999997,2.131796772,5.915339157000001,1.808288771,2.991724252,6.843419404,2.6588599569999998,5.869381655,0.31481074,6.922643891,5.082831917,5.003073442,4.853903508,6.308134871,6.050676407,6.578292418999999,2.664446564,3.218475745,4.858959327,6.528586375,5.069847154,4.860044935,0.0,4.90534885,0.438254931,4.464297627,3.976123931,1.974081026,2.2289385530000003,4.64381381,3.5530597310000003,2.4006188330000002,3.5918177410000003,5.930599271,3.409165551,6.143820761000001,5.451639131,2.0
BC04_92,0.0,5.915015375,0.0,0.9593502209999999,0.0,5.58960543,6.565138201,4.784988613,3.3975239760000004,5.543065842000001,5.978505946,1.492904096,6.0644594000000005,5.101450538,5.673563787999999,5.764187465,5.6059491139999995,5.514677966,2.180417459,4.87756094,0.0,1.435084525,5.875043084,5.8216247679999995,5.069658635,4.460722282,0.0,5.218028795,1.523880024,0.0,2.954910279,0.8415671859999999,4.628984364,0.625938431,4.2530562530000005,5.252063982,4.609261804,5.525293564,0.0,0.0,5.074173315,2.0
BC07_72,0.0,0.641853886,5.847247696,5.022432104,3.1475946230000003,4.672361436,6.778204525,0.0,7.441701548999999,0.0,0.0,6.50106442,3.8495091,0.0,6.241250029,3.39785848,6.155558486,0.0,0.0,6.661726855,6.268433185,0.0,1.111857515,3.591542221,1.272565596,0.0,0.0,6.899289546,0.0,0.0,5.155601064,0.412109651,6.203708917999999,0.0,6.202171077999999,0.0,0.0,3.053529372,0.0,0.0,6.6680884670000005,2.0
BC07_73,0.0,4.93101472,5.311085506,5.707940485,5.72172062,6.923963218,6.593715542000001,5.436861176,4.613733417,0.0,6.493708452999999,5.825468992999999,7.087540288,5.40878482,4.206631038,4.033355291,5.969883339,0.157003749,4.899554746000001,3.683112859,3.367640598,6.598944901,4.504686647,3.149311361,3.738859386,5.252378135,0.0,4.369827527,0.0,0.593326845,3.5621818010000004,0.0,5.522500377,4.8336594239999995,0.431782416,0.0,4.780383204,5.740949799,0.0,3.4697901730000003,6.6894997620000005,2.0
BC08_06,7.531273672,1.4586150230000001,6.513408137000001,0.0,5.59701356,4.28565339,0.0,0.0,3.894876847,0.0,0.0,0.0,0.0,0.0,4.10478982,0.0,2.869601996,1.848454813,0.0,0.916290732,0.0,6.429542043,3.4362427230000003,0.9321640809999999,0.0,6.943180336,0.0,0.0,0.0,6.633213165,0.0,0.0,4.270396506,4.039184151000001,0.0,0.0,0.0,4.872062644,0.0,0.0,1.6253112619999999,2.0
BC08_08,7.021646306,4.4552770960000005,6.217743179,4.037597828,8.112170985,5.73327655,6.098186635,0.0,0.0,0.0,6.768573667999999,5.2182996589999995,0.9593502209999999,0.0,6.580111952999999,6.520635855,7.379345149,0.828551818,0.0,0.536493371,0.0,5.563216876,4.7734773310000005,0.0,0.0,0.0,0.0,5.027164596,0.0,6.23124887,5.603851636,0.0,6.077527558,7.686079655,6.281406564,6.423263197000001,0.0,2.990719732,1.3584091580000002,0.0,3.975373321,2.0
BC08_22,4.12503541,0.371563556,7.349918691,5.979214825,0.0,7.578012471,7.546007952,0.0,7.75522741,0.0,6.571359039,4.436869871,0.0,5.426446694,6.708425906,4.715548093,0.3074847,2.479056236,1.01884732,0.0,5.524974737000001,2.7408400239999997,2.4492794719999997,0.0,0.371563556,5.690764777999999,0.0,5.385457902000001,4.655483,4.333623895,6.251364239,4.49535532,6.84952217,6.989455073999999,7.654566442,0.0,5.740017967000001,7.393626106,4.8181017719999994,0.620576488,6.414704082999999,2.0
BC08_27,11.26957717,0.182321557,6.060897322000001,4.61194717,0.0,5.195730778,0.0,0.0,7.546726066000001,0.0,6.1701545179999995,0.0,0.0,0.0,2.90416508,0.0,5.797333532000001,5.335805811,0.0,1.313723668,1.043804052,6.207241027999999,6.465506885,0.0,3.280159053,6.086456494,0.0,0.783901544,5.452882246000001,6.055518576,7.039195737000001,6.170196335,3.245322995,6.9871947279999995,3.980429038,0.0,5.534100698,6.081145275,0.0,6.923303772000001,6.513363632999999,2.0
BC08_70,9.814183549,4.192982532,7.115314016,0.0,0.0,7.224061251,6.150346872,0.0,6.590891533,0.0,6.5268169160000005,7.275331587,1.442201993,5.257234921,4.785907155,0.0,5.9483743570000005,0.0,0.0,0.593326845,4.539671203999999,7.832363326,6.83747229,0.0,6.866454002999999,6.6032389689999995,0.0,4.655673168,5.807151008,0.0,7.040291176,0.0,7.005662085,8.044186658,3.0041963519999997,4.326381781,0.0,7.264849135,0.0,3.945070859,6.459669685,2.0
BC10_69,10.02817779,4.880298792,3.094672221,5.5041519789999995,3.9958125310000003,7.479593213999999,0.0,0.0,5.034156489,0.0,6.747398716,6.113084656,6.531635358,0.0,6.934640608,2.122261539,7.198961136,1.8293763330000001,0.0,1.530394705,0.0,4.152141661,5.031287234,5.071542228999999,4.521788577,0.0,0.0,5.658959431,4.342375829,5.293103799,6.065063461,0.0,2.604909442,6.407292442,4.148043295,6.759081242000001,0.615185639,2.8483916860000003,6.279252864,0.0,5.254313231,2.0
BC10_81,10.27672557,1.850028377,5.43114226,0.0,5.920988433,5.792678186,6.405294572000001,0.0,5.8094329479999995,0.0,3.147164977,5.582518387,5.762837237,5.267600394,7.28816921,0.0,6.041777361,0.0,0.0,0.0,0.0,6.916437479,5.96686443,3.772071045,4.313881618,6.720003002,0.0,0.8109302159999999,6.549393198,0.0,6.9597878,2.9637254769999997,6.942890736,4.971825163,4.9781809710000005,6.049969276000001,0.963174318,6.263436357000001,4.746496122,5.553463334,5.957442297999999,2.0
