,MGP,SCGB2A2,PIP,MUCL1,GSTP1,HLA-DRA,CD74,APOD,TFF3,IFITM2,LDHB,SLPI,PPP1R1B,RN7SL56P,PPP1R14C,S100P,TFF1,AGR2,SEPP1,TM4SF1,group
BC01_02,0.0,0.0,0.0,0.0,0.0,0.40546510799999996,0.0,0.0,3.783734985,3.7556030860000003,7.585372491,6.175139355,0.0,0.0,0.0,0.0,5.682013916,0.0,5.795419249,1.137833002,0.0
BC01_03,0.0,3.9500892060000004,0.0,0.0,0.0,0.29266961399999997,0.536493371,0.0,1.022450928,1.846878768,7.354055182000001,3.921973336,0.0,0.0,0.0,0.0,4.5144793210000005,1.226712291,4.357862008,0.488580015,0.0
BC01_04,0.0,0.0,0.0,0.0,0.6729444729999999,0.0,0.0,0.0,1.247032294,0.0,6.708108504,1.589235205,0.0,5.319295773,0.0,0.0,0.91228271,0.90825856,0.0,1.026041596,0.0
BC01_05,0.0,0.0,0.0,0.0,1.1537315879999999,0.0,0.0,0.0,2.598979106,4.08933202,6.896876317,4.568609931,0.0,0.0,0.207014169,0.0,4.34133484,0.0,4.357990057,2.858766418,0.0
BC01_06,0.0,0.0,0.0,0.0,0.631271777,0.0,0.703097511,0.0,0.0,0.0,6.396579593999999,5.110540959,0.0,5.985873949,0.0,0.0,0.0,5.676890779,3.610377226,1.0331844829999999,0.0
BC01_08,0.0,0.0,0.0,0.0,0.693147181,0.322083499,4.158570535,0.0,0.0,0.0,6.747199127999999,3.7644506410000003,0.0,0.0,0.0,0.0,0.0,5.070914758,5.061645215,0.40546510799999996,0.0
BC01_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.554392632,5.179364897,6.198458391,5.406857821,0.0,0.0,0.0,0.0,10.88995376,7.957219339,5.935978264,6.766306915,0.0
BC01_12,0.0,0.0,0.0,0.0,0.0,0.22314355100000002,0.609765572,0.0,5.266929893,5.732726201,6.951274432999999,5.347869145,0.0,2.366498419,0.0,0.0,9.104823177,7.795831703999999,5.752953519,8.077431626000001,0.0
BC01_33,0.0,0.0,0.0,0.0,0.0,0.22314355100000002,1.808288771,0.0,6.0144483829999995,5.6887365160000005,6.961362394,5.281171208,0.0,4.101651137,4.057853454,4.046204187,7.783536467999999,7.232234457000001,4.158726821,7.689393991,0.0
BC01_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800303831,4.615417502,7.129121251,1.5871923030000001,0.0,0.0,0.0,0.0,9.576512178,8.288139711,5.452067966,5.8950637729999995,0.0
