,RPL32,NDUFA12,SAT1,DBI,NDUFB2,SLIRP,PRDX3,ABRACL,MRPL51,PSMB6,TIMM8B,PSMA4,DAD1,UQCR10,HSPE1,GTF3C6,COX5B,C14orf2,MRPS18C,DYNLL1,group
NBMpool7A2,7.209641341,8.070744118,1.8327256969999999,7.829882089,7.755443135,6.742734864,1.577872348,7.121440604,7.302495651,1.16705809,7.000903755,1.3771109609999999,6.841288092,0.804135807,1.4535766019999998,1.093361209,2.298453153,6.466810867,0.0,1.264390919,1.0
NBMpool13A3,0.0,1.9638891669999998,0.861987616,7.543862914,2.118406368,6.301608834,6.182636329,6.4513421289999995,7.4414586510000005,1.066672828,6.529321902,7.18945816,1.052076044,5.830767281,6.2494831710000005,0.7057992340000001,7.359237254,3.131762515,1.270788709,7.113475500000001,1.0
NBMpool11A4,0.0,1.0334582140000002,2.546506075,7.342665517,1.938379734,4.758293767,1.24330771,0.605889833,7.432657464,7.738629612,0.0,0.7667702820000001,8.130720221,1.071861797,6.918477125,7.1624277329999995,1.983942986,1.7677086169999998,0.655462846,0.7819872390000001,1.0
NBMpool17A6,0.0,1.17290876,1.3912111880000002,1.706521841,6.794925867000001,1.56347687,1.462442772,6.845720281,1.270343218,2.391022371,0.6526692789999999,1.2985789090000002,7.67720566,6.157041495,7.23922855,1.188535064,7.429694239,6.985107356,6.866250456,7.030461181000001,1.0
NBMpool1B1,0.0,6.740660653,6.510350475,7.122082925,6.975108232,6.6823281560000005,6.809570826,6.1713551010000005,5.801513087999999,7.621242945,5.578640533,6.884053119,6.5485092389999995,6.445453683999999,6.710662051,6.081924985,7.139268638,6.747846394,5.712318141,1.124589821,1.0
NBMpool10B2,6.348779497000001,7.4466427479999995,7.457938266,7.019370176,0.0,3.584814459,1.915027745,0.0,2.53063116,7.616414596,7.299800274,1.270927575,7.657600499,6.398343649,6.846146672000001,0.0,3.465685085,1.758184647,0.0,0.0,1.0
NBMpool14B3,6.824431802,6.721709422999999,1.494556554,1.93985211,2.078520037,5.442512566,1.4265453719999999,1.927959336,0.650597353,1.535144338,2.026577052,7.458473344,6.0907190579999995,6.105137707000001,5.702467134,2.019238916,7.1354564279999995,6.662437752000001,5.9080108970000005,0.620335218,1.0
NBMpool14B4,0.0,6.53322157,1.3422425,7.116939877,6.6937854439999995,5.660126204,2.286667756,7.122834727000001,1.87148101,7.110384407000001,2.010319044,6.941887791,7.131375437000001,2.0346039940000002,1.775619221,6.049229399,6.853404922,5.833193753,1.4085819,1.206956312,1.0
NBMpool17B6,5.850266572000001,7.070477531,0.26732789,6.929523509,7.356149567,7.31539767,0.905259541,6.815965585,1.0818639490000002,1.4418126430000002,0.383346254,7.2070752360000006,4.7405312330000005,1.112481749,1.267297288,0.821514987,2.295812427,3.713395522,0.7490976979999999,7.774083779,1.0
NBMpool6C1,1.945701609,8.018709292999999,6.715051527000001,7.067107725,1.370310376,7.290416767999999,6.658491297,6.64506908,6.899620245,1.6643997169999998,1.080085554,1.431896064,1.176655321,1.484837084,6.09849785,6.926912069,7.148024056000001,1.757289087,1.5195455580000001,0.893587969,1.0
NBMpool4C11,7.621545732,1.7440013109999999,1.447899016,1.4248950919999999,7.645244411,7.717530825,2.36832976,1.3257689320000001,0.0,1.319716842,7.539615809,1.401406249,2.403030897,1.267160397,7.553518484,2.383045671,8.003754984,1.852441363,1.404706716,0.0,1.0
NBMpool10C2,5.605775091,1.276997776,0.27083643,7.666366489,0.0,8.131493817,6.780648264,0.333943488,0.55519023,6.5399583020000005,6.938907904,7.316643742999999,7.9976811670000005,6.9687642379999994,7.262639892999999,0.63212845,1.095330877,7.021865925,4.956234101000001,0.248602194,1.0
NBMpool14C3,0.0,6.957575492,0.47174445600000003,7.441336017999999,1.319916558,0.961237848,6.926652493,6.142134756,6.9050904310000005,7.731625508,1.873861015,0.845543432,7.28560524,5.889964311,6.762407546,0.705597567,6.064653372,1.701231271,0.909144165,6.033359894,1.0
NBMpool11C4,0.0,1.862491052,6.653908202,1.263308144,6.911529334,6.344761048,1.458013384,4.126941827,6.449254757,1.6901332480000002,5.921616676,6.727940389,1.4178302980000002,1.109530935,5.372022793999999,1.51445389,7.54831759,5.5525104579999995,0.41976795200000006,7.196869684,1.0
NBMpool17C5,5.899510952000001,6.943969579,0.76556508,0.802000845,1.812849006,6.463334867,1.176575983,1.376795735,6.89039671,7.216139355,6.620499475,7.146330394,6.544959467999999,6.386142926000001,6.2514375939999995,6.379707017,7.177074379,0.8738050190000001,1.1243058320000001,0.81565819,1.0
NBMpool17C6,0.0,7.027722671,0.8866260290000001,7.388009352,7.136017531,6.344470717,1.284245332,6.837519500000001,0.921614145,0.789595158,1.155380452,6.964512085,1.164674421,5.631010932000001,6.9358602739999995,0.431281232,6.7559713939999995,1.871771184,0.0,0.622252999,1.0
NBMpool6D1,0.0,1.6061029740000001,0.731469082,1.550891377,7.244883431,1.913512813,6.890903302999999,6.480568762000001,0.998842235,7.015502596,1.780119115,6.848861099999999,2.0364931719999997,6.782510736,0.986869257,6.8064303189999995,6.813855364,7.638506512,7.37831593,0.0,1.0
NBMpool4D11,5.701481514,1.6551603559999999,1.080431921,0.9845592809999999,6.858024055,5.930560444,6.170719415,1.247096896,5.540665446,1.241224481,7.208949662999999,0.619622729,6.549070271000001,5.321204695,7.049398853,0.0,6.455138989,1.761575603,5.833107233,1.840043024,1.0
NBMpool10D2,6.390695356,1.219417316,6.980904746,6.550548096,0.682734095,6.0933598479999995,5.879157483999999,0.0,0.41443025200000005,7.152208215,6.243618314,6.756341695,6.340549354,5.891446445,1.103710516,0.0,7.983049802000001,7.425938159,0.684130715,7.035569603,1.0
NBMpool13D3,0.0,7.653890972999999,4.868525839,6.430501137,6.2461426620000005,5.935593334,5.803821494,6.034095507999999,6.160846042999999,6.317867047999999,5.964035391,0.905369124,2.499837723,5.201914507,5.673898635,1.062291547,6.297975462,6.709528627,1.106964395,6.487540035,1.0
NBMpool13D4,0.0,6.589295452000001,5.080135177,0.57168615,2.189280969,6.152988247000001,7.591365969,0.38924188,1.216630248,1.211869289,6.1337365660000005,6.760821603999999,3.080468057,6.830920682,0.0,6.695817846000001,6.666065594,6.783226589,1.4289939580000002,0.0,1.0
NBMpool17D5,0.0,1.7750163140000002,0.24805685800000002,0.8016576059999999,6.938345274,7.092182511,1.075858716,7.0812403139999995,0.639613675,7.671644214,0.496986121,6.556872531000001,1.0079910570000001,7.1235914110000005,6.103602776000001,0.822716986,7.7489826829999995,5.490422301000001,4.381956608,1.1130164470000001,1.0
NBMpool17D6,6.435774342,6.742497742,6.392039411,0.381966094,6.3078131310000005,0.997884807,0.629969356,0.34171643399999996,0.926378844,1.617434449,0.0,6.618311601,7.1161492,0.5342057729999999,1.097104323,5.938274355,5.828260642,0.0,0.944598968,1.067134355,1.0
NBMpool1E2,0.0,1.565384546,0.298533105,0.0,1.13487987,6.51585765,2.128540836,0.366996465,1.326308593,7.253185302,6.772659214,1.139359145,7.101424917,1.577480211,1.8609677040000001,0.9468373840000001,1.171163665,0.7651352579999999,7.020966429,7.359929707999999,1.0
NBMpool21E6,0.0,6.948138792000001,6.6313884000000005,1.7950891009999999,0.836394862,6.800742616,1.0209105109999999,1.578297005,6.712594537999999,6.649234921000001,0.7678381320000001,1.345166911,1.465814405,1.218256498,1.853760483,7.519021248,2.321904251,6.076354356,6.73920535,6.087384432,1.0
NBMpool7F1,5.554858526,7.049518729,0.8774285140000001,0.519670339,2.0921948180000003,6.747022175,1.511934303,6.704683218,6.934117576,1.93425666,6.31233251,7.604328211,6.497890598,6.838465237,1.683641935,6.704852527000001,1.097674818,4.573761579,6.568825971,0.615013117,1.0
NBMpool8F2,0.0,0.805609355,0.64821121,1.9933439659999999,7.557080592999999,6.45614961,1.564474784,7.137907725,1.5542534019999998,0.991153325,7.128408141,0.634839101,7.658572459,6.3441140879999995,5.9638166660000005,1.064519155,6.16891285,1.877201562,0.7971638940000001,1.5038499580000002,1.0
NBMpool13F3,6.740479162000001,1.419096954,1.182201439,2.1740916759999998,6.699898537999999,7.030847274,6.9595183039999995,1.7991188280000001,0.641559486,1.145524286,1.819910605,1.924233997,6.717299194,6.049233805,1.51071737,6.812624807000001,1.529821958,1.053565047,6.079611647,6.373843014,1.0
NBMpool15F4,6.76089292,1.381330947,7.819316816000001,7.253121962000001,3.188318628,1.6718538440000001,1.584278806,6.903928717,1.436988,6.875884108999999,0.653478425,2.710460692,7.382875338,6.526339347,0.0,7.150925227,2.064455551,3.535439313,1.369882548,7.071668473,1.0
NBMpool22F5,0.0,7.358207566,0.729554955,7.12945439,1.591383459,7.5397402389999995,7.589802902000001,6.7934585929999995,7.315250292000001,7.711584789,7.647146556,6.98394961,7.239137744,7.5073740860000004,7.723599289,7.705698277000001,2.318783812,1.140778608,0.0,7.375803892,1.0
NBMpool19F6,0.0,7.67244984,0.0,1.192545837,7.007345046,2.0847346069999997,0.30812818,6.241459377999999,0.983094255,7.649871753999999,6.310615126,1.936453512,6.839903907999999,6.29045252,1.7789437590000001,0.78482736,1.887989607,7.178891961000001,5.649350094,1.067476398,1.0
NBMpool6G1,6.190755359,7.1555397439999995,0.9588872540000001,6.25270239,6.729620711,7.203911693999999,1.075872275,6.968033067,6.0374202839999995,5.746730576,0.652156284,4.9190661460000005,6.189524055,5.989395839,7.313310501,7.345366702000001,5.882443512,6.746869897000001,1.684584047,6.238678752,1.0
NBMpool4G11,0.0,6.902680926,0.9105168290000001,1.445327205,7.349827546,2.3933613559999998,6.3513621339999995,0.666158598,0.780096522,2.024558131,2.250508477,0.874375913,1.4914030719999998,6.132070121,0.0,1.260252996,8.075168982000001,6.837641249,1.3090623559999999,1.46420327,1.0
NBMpool7G2,7.507510244,7.665624492,0.463639499,6.7862060589999995,7.713275295,6.446262793,1.491001667,0.44714911399999996,0.0,0.316859697,0.8538895120000001,6.375750813,0.205271203,5.99868161,0.378668798,0.15458701,0.273448138,0.900773556,0.607523468,0.0,1.0
NBMpool13G3,0.0,7.064073062,6.577648315,1.878473043,7.452566544,7.384127447000001,6.396335252999999,0.0,1.9240754469999999,5.798512795,1.6493212430000002,6.8274861829999995,6.859158407000001,5.833105299,2.262588671,6.825565225,6.79447532,2.313487145,0.982882702,7.078869334,1.0
NBMpool12G4,0.0,1.9309301369999998,6.784706972,1.871758405,7.359249172,6.282144432000001,7.676456862999999,6.492224043999999,2.821140695,3.7000078089999997,2.57742565,2.3404272440000002,6.888311133999999,7.5286488160000005,1.167533808,2.245225616,7.780043104,7.080825668999999,6.780855492000001,1.43925042,1.0
NBMpool17G5,0.0,1.633618236,2.237320119,1.446392528,1.478187935,1.9428296219999999,7.109036272999999,1.661326591,0.0,8.025309112,3.369518803,1.59669357,0.0,1.087822317,6.824961200000001,7.005556737999999,7.608517608,1.544603146,1.748059036,1.619270718,1.0
NBMpool17G6,0.0,5.1906737860000005,1.477866469,5.109686995,5.823881796,6.421415866,1.4368850359999998,5.047522068,6.453036022,7.48315674,5.755760394,5.773710086,1.8291020390000001,6.47701939,0.0,6.137627144,2.329987574,1.433605843,0.0,0.542926797,1.0
NBMpool7H2,0.0,1.578890319,0.5274553989999999,0.698605252,5.935452345,2.332602699,6.839326842999999,1.5132137380000001,6.957279548,6.261262222,1.218610403,7.163567955,7.682559907999999,7.074923161,7.164167895,0.331988528,7.130152851,5.9850041560000005,0.0,1.531805765,1.0
NBMpool14H3,0.0,7.8107444489999995,1.209493242,7.294484072,6.959164335,1.825863305,1.414299859,7.260672876,7.653042967999999,2.675218547,7.530624391,1.3783508230000001,6.10159561,6.6685735379999995,7.421713694,0.550790433,0.8679258390000001,7.37819228,7.634524226,1.228623932,1.0
