,RPL32,LGALS1,RAP1B,SAT1,MRPS18C,SNORD102,COA3,DYNLL1,VAMP5,CD52,FAM96A,LAMTOR2,EMC4,SPINK2,TSTD1,NDUFS8,DYNLT1,COMMD3,HOPX,CASP4,SELL,GTF3C6,PIGY+PYURF,ATRAID,H3F3A,MPV17,NDUFAB1,AKR1C3,SPCS1,PSMC3,EAF2,MRPL55,TIMM8B,PDHB,NDUFB10,PSMB6,NFKBIA,NDUFA12,COX16,MRPL18,GPN1,PCMT1,PSMB7,MYEOV2,NDUFA8,POLR2G,DNPH1,CPNE8,PRDX4,TRAPPC2L,ATP6V0E1,DBI,group
OX2046D11,6.760864415,0.0,0.0,6.125673312000001,0.0,0.0,0.9966344570000001,6.604767713999999,0.8689698709999999,7.968532859,6.5347081529999995,0.575995976,1.074579191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121401734,0.395117525,0.857774699,0.0,0.0,1.717629864,6.952622158,0.0,0.436551026,0.255687065,0.0,6.9434563570000005,0.6817564009999999,0.488911545,0.5070861179999999,7.173337273,0.0,7.838490037000001,0.0,7.819541799,0.0,0.0,0.0,0.70908532,0.0,0.741915407,0.0,0.0,0.0,0.0,7.137515175,1.0529890720000001,1.0
CML1266_PROGR_PL1E2,0.0,1.540893716,0.0,1.3483873240000002,7.481851089,0.0,7.702229265,0.0,0.0,7.407734131000001,0.502594446,0.455725754,1.218658028,0.521788842,0.0,0.353730736,0.876372613,0.864162216,0.294922592,0.437850168,0.682104323,0.7311446290000001,7.81872785,7.718060181,0.0,0.517391629,0.7046175290000001,0.0,0.0,0.7322382129999999,0.288560193,0.46392416700000005,0.8956022159999999,0.6599557620000001,0.39845327399999997,2.7354500639999997,7.262540689,7.758743021,0.0,0.874179556,0.516191127,0.959933771,3.341163485,0.5681567479999999,0.0,0.967196912,0.720923109,0.259088241,0.0,0.0,3.700261888,1.1580272440000001,1.0
CML1266_PROGR_PL1H9,0.0,7.251368144,0.0,7.64826308,1.387054842,0.0,0.341439738,0.0,0.6876179640000001,8.318518806,7.008613542999999,0.8955182629999999,8.213454973,0.0,0.0,0.0,1.030271294,0.0,7.142541641,0.234862166,0.14205764699999998,0.869015005,7.15779788,0.876415725,0.0,0.282579617,0.6861259140000001,0.0,0.330024837,7.008433963,0.82835181,0.0,0.873933975,0.5161901720000001,0.8818446209999999,0.933666071,3.938932372,6.666415454,0.0,0.697997045,0.0,7.10504118,0.0,0.0,0.32935769600000003,8.082791092,0.41146689299999994,0.0,0.538875705,0.0,0.0,7.111380045,1.0
CML1266_PROGR_PL1D7,0.0,6.332193655,0.0,7.71880986,5.867226246,0.0,0.253782238,0.779275127,0.0,6.543140083,0.36931587200000005,0.0,0.7249596640000001,0.409968349,6.564332975,0.0,0.823752404,0.662343602,0.0,0.560582514,0.43293276799999997,7.615825026,0.620957086,0.557647378,0.0,0.380901069,0.30007573,0.14280617199999998,0.0,0.46432935,0.206076388,0.0,6.461184662999999,0.0,0.512701644,7.879221309,6.844197718999999,7.134574506,0.0,0.54043731,0.480140255,0.580819224,0.0,0.0,0.60469318,7.14362356,0.0,0.0,0.565506289,0.0,0.424814134,6.88667471,1.0
CML1266_PROGR_PL1E10,0.0,8.273275531,2.455927165,5.909653385,1.046368119,0.0,6.3716432979999995,6.8264620560000004,0.972484255,6.553342379,1.129143935,0.957766077,6.995289045,0.7409095920000001,5.846002226,5.828028878,0.915521365,6.447960548999999,0.438078898,6.147666019,0.41054763,1.194621711,4.92799838,7.2000006270000005,6.354610245,0.43372678600000003,1.778120994,6.4027786429999995,0.0,6.124203065,0.0,0.0,3.7563861960000002,5.755457367999999,5.1338437710000004,1.579121315,5.069360022,6.136536127,0.0,0.985448049,0.308163113,0.0,5.888527732999999,6.387529633,1.279414599,6.273178037,0.0,0.817092548,6.903789577,6.37191728,1.67516356,6.293048055,1.0
CML1266_PROGR_PL2D2,0.0,1.409191214,6.298960115,7.624729837,0.0,0.0,1.0223794529999999,0.0,0.35942473,7.567974676,6.800748051,0.0,0.83803388,0.881494042,4.9293192239999994,0.0,6.258155164,0.45660426200000004,0.456356579,6.081186764,0.58837595,0.921782763,7.034877382,0.652262862,0.0,6.195520707000001,1.1493184459999999,0.7251702059999999,0.52116333,0.167237846,0.0,0.0,5.416581934,6.318815285,0.34546619700000003,0.29086002,5.6445363539999995,1.00909837,4.627642571,0.0,0.17382346,6.755855027000001,6.818756564,4.7573184369999995,5.880185742999999,4.847761608,5.360951727,0.0,6.086234967999999,0.0,0.682230482,5.583747425,1.0
CML1266_PROGR_PL1A12,0.0,7.963211973,1.5002927780000002,1.743968894,1.239358659,0.0,7.35841862,7.502772985,0.0,8.199627307,0.8712379440000001,0.8014519859999999,7.194973872,1.431890255,0.9433139079999999,5.899914167,1.6052712080000002,1.923476767,0.548176753,7.178249094,0.9878704429999999,1.848610714,1.302301181,1.20075357,0.0,0.892946514,6.60259423,1.305421384,0.0,0.37817881299999995,1.789050009,0.813775677,6.168413471,0.0,0.0,0.9949941179999999,7.4755533960000005,5.936025064,0.0,0.0,0.0,6.417173107999999,1.200008849,0.9663235929999999,6.76873131,1.49750418,0.0,0.985295536,7.511811475,6.847952482999999,0.973323084,5.789382778999999,1.0
CML1266_PROGR_PL1B7,0.0,2.4868309980000003,2.033091213,0.886979325,5.666026912,0.0,0.0,0.0,0.0,1.758786613,6.832110471,0.0,7.167896193,0.0,0.978555257,6.903293497999999,0.7194170520000001,0.0,0.0,0.0,1.02407342,1.6187233319999998,1.8976312130000001,7.286215742,4.355249082,0.927046763,0.7667307590000001,0.537546355,7.04369107,6.676713987,1.8368133759999998,7.209706306,5.257449822,0.947684654,1.460777006,1.5281588369999999,6.983314013999999,0.9373698109999999,0.0,7.651857137,6.473218942999999,1.232049019,0.0,0.0,0.648178496,6.574495259,0.783987937,0.367625207,0.981937946,0.798568113,0.0,6.746475777000001,1.0
CML1266_PROGR_PL1F10,6.383067317999999,8.091223023,5.222096905,1.460955773,5.591866512,0.0,6.055371138,0.0,0.0,6.452286403,6.030266796,5.498370311,6.4628570089999995,1.930212865,0.49569586299999996,0.0,6.463255842000001,0.468593445,0.261341227,0.5408761470000001,0.524441803,5.794271304,6.102196618,6.175502279,2.76341998,6.449412402,5.873625245,0.7419979729999999,2.210979088,5.581807276,0.0,5.520330968,5.549392056,6.3141689670000005,6.007192157,7.255811182,5.711882457000001,1.720287022,5.048670905,6.963233365,0.943414015,6.110147737,1.347399286,5.215895989,5.776871609,6.843397792,0.652195231,0.295162902,0.49781551,0.386828733,6.849528101000001,7.8292738260000005,1.0
CML1266_PROGR_PL1B4,0.0,2.2193019830000003,0.0,1.266768008,0.0,0.0,1.710332055,0.0,0.0,1.9051078119999998,1.504796871,6.821723601,1.827433666,1.1012768290000001,0.0,0.0,1.560496114,1.875560284,0.652389539,0.0,0.82177177,7.140515154,7.553305407000001,1.6572744780000002,6.223313347,1.533730367,7.181983894,0.0,1.4503860530000001,0.45695251,0.640418975,0.9491170329999999,1.921241798,0.48662383299999995,0.838582684,1.4404533330000002,1.01239271,2.127722809,0.0,6.5508346070000005,0.0,0.804273445,1.6838111230000001,0.0,0.735090901,2.158042343,0.0,0.0,1.094420479,1.67991961,0.711804882,1.782910646,1.0
