,RPL32,SAT1,MIR3064,NFKBIA,COX7B,NDUFB4,SNORD102,DDIT3,CLK1,NDUFB2,CD52,SSR4,LSM7,LAMTOR5,COX5B,PSMA1,SHFM1,OCIAD2,TSC22D3,EIF3M,GABARAP,HIST1H4C,C14orf2,ITM2B,TSTD1,NDUFA12,DBI,ATRAID,SUMO1,ATP5J,TMEM258,PSMB6,GSTK1,OST4,HIF1A,UBL5,NOP10,IGJ,SOD1,PCBP2,SELL,PARK7,TCEB2,S100A4,SNRPG,ARPC5,FOS,BCL11A,HIST1H2BG,NDUFA3,CDC42SE2,CRHBP,group
OX2046D6,0.0,0.338804115,0.0,6.964504817999999,1.34998538,0.0,7.491405974,0.0,0.7104119259999999,1.773892078,8.441902062,0.8785752509999999,7.740471188,0.0,8.034340256,8.035502463,5.872355128,0.0,0.0,0.572179187,0.396330652,0.7484121970000001,8.073747927000001,0.377164103,0.0,0.62989549,0.461794442,0.380508147,0.338537495,0.566429751,1.145747325,0.411954265,0.383569521,0.0,0.17278341,6.559076171,0.59432816,8.500689169,0.0,0.0,0.0,0.673938519,0.0,1.265494263,7.578562547000001,0.607827487,0.7918891290000001,4.609770958,0.0,0.0,0.404275305,0.0,2.0
OX2046E12,0.0,1.143689296,0.0,0.0,0.0,1.2575838940000001,0.0,0.0,1.7178688780000002,1.672382389,7.3392234279999995,0.808191302,1.374356818,7.959238301,0.0,0.0,0.93274795,7.56908984,0.0,0.520199558,0.620383067,0.0,0.778127252,7.445439101,0.0,0.8401605390000001,0.711663052,7.866186602000001,0.9195535859999999,7.541037932999999,1.566719845,0.642384239,6.076835857000001,7.2387709760000005,0.0,1.010646455,7.682727947999999,9.937441462999999,0.0,0.0,0.0,0.993340989,1.575241356,7.6302597489999995,7.247835151,4.714117296,3.8628376089999996,6.88172252,0.0,0.0,6.326287449,0.0,2.0
OX2046B5,0.0,0.0,0.0,0.0,7.511721199,0.0,0.0,0.0,0.0,1.29410642,8.055721612000001,0.0,6.9119578420000005,0.825962876,7.322655542000001,0.764061605,0.0,0.0,0.779027622,1.2546247179999999,0.0,0.0,0.892667772,8.27673103,0.0,1.06432461,1.5708199809999999,0.0,1.277980162,7.2461354710000005,1.200221943,1.1651630309999998,0.0,7.231969951,1.34996176,6.865950021000001,6.992579857999999,10.74832525,1.366630122,0.0,0.0,0.713398007,6.517131985,1.541515189,0.0,6.67748603,0.6265408179999999,6.322775743999999,0.0,0.0,6.113017299,0.0,2.0
OX2046H5,0.0,2.4995538809999998,0.0,6.780383271,7.620688482,0.0,0.0,0.0,0.679328907,1.44206683,2.099892737,6.639978748,6.938963193999999,0.0,7.488652285,0.41263102399999996,1.194559387,0.0,7.657391501,7.18010411,1.073541603,1.371081177,7.947789202999999,6.953753419,0.0,7.715026749,8.171451788999999,7.305489224,0.7813165259999999,1.102375446,0.0,1.3059489659999999,6.530643567,0.995479804,0.78097417,0.0,1.438492405,7.545576225,1.9373219659999998,0.0,7.312293962,1.263899615,0.7691945259999999,2.043485704,1.091938975,1.165613498,7.374647132000001,7.1816775889999995,0.0,0.0,6.274741842999999,0.0,2.0
OX2046E9,5.83489074,7.399040082000001,0.0,0.0,0.630306015,6.799892685,0.0,0.0,7.612007888,6.9048059539999995,0.606649843,0.0,0.932243532,0.0,7.782458724,0.0,6.324817907000001,0.0,0.5617123820000001,0.304508033,0.0,0.706458791,0.478833845,6.013335597999999,0.0,0.592771383,7.608273025,7.299411946,6.735502798,6.967104075,0.0,7.13713466,3.6394515239999996,0.0,0.285737824,6.186068797999999,0.0,3.25850093,0.604290452,0.0,0.0,7.0643664820000005,6.410189216,7.827448515,7.088582092,6.949399467999999,5.850094104,5.368974236000001,0.0,0.0,6.396186276,0.0,2.0
OX2046D8,6.728443799999999,0.8818241259999999,6.221144207999999,0.0,1.6444958109999999,7.047914392999999,0.0,0.0,5.490129402000001,7.343216095,7.189332257999999,0.480851927,7.44935023,1.4167081419999998,4.525107676,0.702448939,0.568264374,0.0,0.6710337470000001,0.701207846,0.0,1.083229501,0.774232191,6.7195690279999996,0.0,1.196801571,1.661647598,0.0,0.42192208700000006,6.892739552,0.0,0.36967569,7.2335780739999995,7.1169398170000004,4.631416775,1.006063478,1.5176298609999999,9.40250493,0.0,0.0,0.0,0.35206739200000003,0.325641742,7.3602115910000006,7.812928542000001,0.826059297,7.078243595,6.505427072000001,0.0,0.0,0.362649548,0.0,2.0
OX2046E7,0.0,3.686467148,0.0,0.0,0.0,2.690391441,0.0,0.0,8.757033406,3.2029571860000003,4.8138579230000005,2.679509922,0.0,3.5651175860000004,4.2102736610000004,0.0,0.0,2.816726857,2.12699644,0.0,0.0,0.0,2.628466897,3.463803729,0.0,0.0,3.5545570860000004,3.3250790410000004,3.468669977,3.808980407,0.0,4.094560574,0.0,3.255786249,0.0,0.0,4.153446676000001,5.657646502,2.9105852660000004,0.0,0.0,3.361763383,2.704253832,3.914033555,3.3993927160000004,2.84131891,2.537614056,3.105606323,8.234092741,0.0,3.006935768,0.0,2.0
OX2046H12,0.0,2.065377466,0.0,4.749880128,0.0,0.0,0.0,0.0,1.295112251,0.0,1.971609462,0.0,0.0,1.107558676,0.0,0.0,0.0,1.547580767,0.65794603,0.0,0.0,0.0,1.7140379980000002,1.73965217,0.0,0.0,1.100293043,0.9484893120000001,0.0,1.281778767,0.0,1.828479774,0.0,1.689334682,0.827965788,1.476440635,0.0,11.11805384,1.404894606,0.0,0.0,0.9719588020000001,0.915779252,0.0,0.0,0.887367815,0.0,1.395104506,1.466545039,0.0,8.627516358,0.0,2.0
CML1203D12,0.0,0.382908676,0.0,0.19373178,1.753523555,0.242610963,0.0,0.184018293,0.586749565,6.698369399,7.838489097,2.182692709,6.402977152,6.790627357000001,6.819714904,1.175170015,6.140863405,0.44565470700000004,0.0,0.638308886,6.791249675,6.564713695,6.439764516,6.444406774,0.6192066820000001,0.990214354,1.056358885,0.810894825,0.37939701,7.279067689,6.510552911,0.779096558,6.949229894,7.542875427999999,0.0,0.926234902,7.115860056,0.46646946799999994,6.63399765,0.0,1.2035596000000002,0.832198826,0.245831744,7.00794695,0.0,5.680439354,0.144296378,0.39698357700000003,0.0,5.9934575,6.125673827000001,7.3023616339999995,2.0
CML1203C8,0.0,0.7349502290000001,0.0,6.935145061,1.115401735,5.201348857,0.0,0.0,0.680476327,7.788486762000001,8.444941153,0.92237338,1.855542166,6.899133834,0.8708138540000001,0.606119339,6.896907347999999,0.286394503,0.9028759690000001,0.18881190399999997,0.71647971,0.469667778,1.027070334,1.243042776,6.9398417939999995,1.225561135,7.22725297,6.225486662000001,0.9593989409999999,0.9710193970000001,0.45568942100000004,1.071862232,2.8826251139999997,7.566598006,6.065927534,1.552898118,0.628066135,2.075548192,1.3628309680000001,0.0,7.792825051,0.830524038,0.575491877,3.481452928,1.104897801,0.75406169,0.432874799,6.336493696000001,1.288367024,0.8419335309999999,3.952959247,7.669911629,2.0
