,RPL32,PCNA,FOS,TSC22D3,CKS1B,RAP1B,CXCR4,MZB1,AK6,NFKBIA,LGALS1,COA3,NAA20,PDHB,EMC4,MPV17,FAM32A,DYNLT1,HOPX,ANAPC13,group
OX2046E12,0.0,0.0,0.7918891290000001,0.0,0.0,0.0,0.0,0.9460539370000001,0.0,6.964504817999999,0.575686783,0.0,0.9602186490000001,0.260405543,0.474115409,0.0,0.0,0.0,0.0,0.0,0.0
OX2046D11,0.0,1.266205182,3.8628376089999996,0.0,0.663078767,0.0,0.902581588,0.0,0.0,0.0,0.865305832,0.0,0.0,0.718573537,1.1455907920000001,0.0,7.662480994,0.0,0.0,0.0,0.0
OX2046B5,6.760864415,0.0,6.4338974989999995,0.253703003,0.990430149,0.0,0.0,0.0,0.0,0.0,0.0,0.9966344570000001,0.450825745,0.488911545,1.074579191,1.717629864,0.491873429,0.0,0.0,0.339687449,0.0
OX2046H5,0.0,1.4156286830000002,0.6265408179999999,0.779027622,0.0,7.233990831,0.0,6.915727045,0.0,0.0,0.0,1.201950331,7.131418837000001,5.086268134,1.59702537,0.0,0.0,0.0,0.665252046,0.9752861209999999,0.0
OX2046E9,0.0,0.0,7.374647132000001,7.657391501,0.0,0.0,0.311070756,7.286226926,0.0,6.780383271,1.116637061,0.5361629379999999,0.0,1.086182025,7.569242603999999,0.45059069399999996,0.9487182609999999,0.5795515729999999,0.7666708590000001,0.6968516659999999,0.0
OX2046D8,5.83489074,0.0,5.850094104,0.5617123820000001,7.095299357000001,0.0,7.055982547,0.394891444,0.0,0.0,0.0,0.0,0.40247070700000004,0.7405286670000001,7.971225273,0.0,0.744533428,0.0,0.0,0.0,0.0
OX2046E7,6.728443799999999,0.0,7.078243595,0.6710337470000001,0.0,0.0,0.0,7.53907219,0.418629501,0.0,0.0,1.0600394309999999,0.0,0.714881852,0.426718073,7.725872057,0.23348051600000003,0.42003419700000005,0.0,0.0,0.0
OX2046H12,0.0,0.0,2.537614056,2.12699644,3.4597252989999996,2.263310794,2.833364998,8.744044172,0.0,0.0,0.0,2.431074158,0.0,0.0,5.508487011000001,3.25674056,2.90960595,0.0,0.0,0.0,0.0
CML1266_PROGR_PL1E2,0.0,0.0,0.0,0.65794603,0.0,1.6401841259999999,1.563998663,1.027515985,0.0,4.749880128,0.0,0.0,1.541568101,1.593258939,0.9902210490000001,0.0,0.70506157,0.0,0.0,0.834563752,0.0
CML1266_PROGR_PL1H9,0.0,0.562357113,0.388197415,0.356343366,0.607731814,0.0,0.196543069,0.0,0.8739808020000001,7.262540689,1.540893716,7.702229265,7.653523085,0.6599557620000001,1.218658028,0.517391629,0.21145076,0.876372613,0.294922592,0.262225552,0.0
CML1266_PROGR_PL1D7,0.0,7.697581238,0.26601711100000003,0.34542331200000004,0.338599889,0.0,0.0,0.0,0.852642962,3.938932372,7.251368144,0.341439738,0.797814767,0.5161901720000001,8.213454973,0.282579617,0.519278268,1.030271294,7.142541641,0.456103927,0.0
CML1266_PROGR_PL1E10,0.0,7.090768858,0.43232391299999995,0.549388839,0.25158237699999997,0.0,0.0,7.196635734,0.0,6.844197718999999,6.332193655,0.253782238,6.52397732,0.0,0.7249596640000001,0.380901069,0.149361954,0.823752404,0.0,0.186577305,0.0
CML1266_PROGR_PL2D2,0.0,1.764489393,1.020172639,0.707594017,0.0,2.455927165,0.0,0.5075299129999999,0.0,5.069360022,8.273275531,6.3716432979999995,1.108498199,5.755457367999999,6.995289045,0.43372678600000003,0.320170419,0.915521365,0.438078898,0.673444888,0.0
CML1266_PROGR_PL1A12,0.0,0.27621963899999996,6.386808404,6.516619958,6.124895117,6.298960115,6.517037244,0.0,0.331015846,5.6445363539999995,1.409191214,1.0223794529999999,5.654991244,6.318815285,0.83803388,6.195520707000001,0.5844314389999999,6.258155164,0.456356579,0.225331609,0.0
CML1266_PROGR_PL1B7,0.0,1.226656468,0.0,7.004738304,0.636554648,1.5002927780000002,0.0,6.878659408,0.688501902,7.4755533960000005,7.963211973,7.35841862,6.737630091000001,0.0,7.194973872,0.892946514,0.0,1.6052712080000002,0.548176753,6.564331875,0.0
CML1266_PROGR_PL1F10,0.0,1.6586593840000001,6.878861166,1.4762323940000002,0.663838406,2.033091213,0.39838660200000003,0.6573647570000001,0.0,6.983314013999999,2.4868309980000003,0.0,7.288708391,0.947684654,7.167896193,0.927046763,7.06380582,0.7194170520000001,0.0,0.0,0.0
CML1266_PROGR_PL1B4,6.383067317999999,7.320922487000001,0.742562794,5.625392936,5.990600069,5.222096905,0.0,0.0,0.0,5.711882457000001,8.091223023,6.055371138,6.308465929,6.3141689670000005,6.4628570089999995,6.449412402,5.066784112,6.463255842000001,0.261341227,6.899683641,0.0
CML1203D12,0.0,1.395509255,0.820800693,0.453724962,0.0,0.0,0.0,0.0,0.0,1.01239271,2.2193019830000003,1.710332055,2.051044154,0.48662383299999995,1.827433666,1.533730367,0.0,1.560496114,0.652389539,0.59013751,0.0
CML1203C6,0.0,0.0,0.144296378,0.0,0.706202911,0.0,0.0,0.0,0.0,0.19373178,0.0,6.87523429,0.426212078,7.747946655,7.064087691,0.153857826,0.207972409,6.336750078,0.408898861,0.195547002,0.0
CML1203F11,0.0,0.0,0.0,0.0,6.960947484,0.0,0.254842955,0.0,0.0,0.771946873,0.0,7.261412694,0.24851230800000002,1.032099522,7.159720619,0.20409019899999997,0.146129022,5.953642405,6.958222048,7.013301142,0.0
CML1203C8,0.0,0.970383917,0.14200422699999998,0.0,0.338982144,4.552972031,0.0,0.690833321,0.8534063159999999,6.967058432999999,0.0,0.477022857,0.6262861120000001,0.291374344,7.864517575,0.503174886,6.318988635,0.372291605,6.078196029,6.789760397,0.0
CML1203B4,0.0,0.416866568,0.432874799,0.9028759690000001,0.25193151,0.0,0.138734864,0.9918368190000001,0.0,6.935145061,0.0,0.768893843,0.45652511799999995,6.616198017,0.847111707,1.128005304,0.755850831,0.8246330740000001,0.6846809640000001,0.599802618,0.0
CML1203F5,0.0,0.233038754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563625171,0.0,0.903469685,6.538962846,7.001408326,0.843908365,0.0,0.0,0.500780867,0.213920525,6.641626225,0.0
CML1203F10,0.0,0.546944793,5.8615223929999996,0.0,6.12928413,0.0,0.349903474,1.095105641,0.853043867,0.815353036,0.46355709799999995,0.341641886,0.0,0.6426282010000001,1.193293883,0.968457322,6.036446627999999,6.168657714,7.3596624770000005,7.618792428,0.0
CML1203D9,0.0,0.836090045,0.695190165,0.909443048,0.675802107,0.0,0.22376805100000002,7.797929356,0.43014084799999996,0.695974654,6.220574406,0.797039438,0.548836654,0.418971124,1.458943343,1.318713606,0.66865705,0.7320628690000001,0.46632070299999995,0.297281148,0.0
