,HLA-DRA,FOS,HLA-DPA1,DUSP1,GZMA,CCL4,SELL,CD69,NKG7,CST7,LTB,CD74,GZMK,CCL4L1,CCL4L2,CD8A,PRF1,KLRK1,TSC22D3,PIK3IP1,group
Cy72_CD45_H02_S758_comb,10.754000000000001,0.0,7.504,7.7494,0.0,0.0,0.0,8.7231,0.0,0.0,7.12,11.462,0.0,0.0,0.0,0.0,0.0,0.0,9.5423,7.6069,1.0
CY58_1_CD45_B02_S974_comb,7.1039,7.6833,6.1094,6.872999999999999,8.7944,4.2918,0.0,0.0,9.9395,6.7841,0.0,8.9354,6.9865,9.4635,9.4635,4.0772,3.2968,8.5415,8.3617,0.0,1.0
Cy72_CD45_D09_S717_comb,0.0,7.0632,0.0,7.9826,8.443999999999999,0.0,7.8471,6.2743,0.0,0.0,6.2956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.163,6.5457,1.0
Cy74_CD45_A03_S387_comb,8.0937,0.0,6.9877,0.0,7.9201,7.2488,0.0,0.0,8.7809,8.6534,0.0,9.1519,0.0,10.298,10.298,7.124,7.2474,7.2461,7.0984,0.0,1.0
Cy74_CD45_F09_S453_comb,0.0,0.0,0.0,7.1262,7.7464,9.4674,0.0,0.0,8.8223,0.0,0.0,5.7332,7.6896,4.0539,4.0539,0.0,0.0,7.2702,7.7287,0.0,1.0
CY58_1_CD45_D03_S999_comb,0.0,9.6776,0.0,8.5746,0.0,0.0,7.2935,8.8129,0.0,0.0,0.0,0.0,7.5575,0.0,0.0,0.0,0.0,0.0,8.0045,6.6718,1.0
Cy72_CD45_C01_S697_comb,0.0,6.9559,0.0,10.113,0.0,0.0,0.0,1.5632,0.0,0.0,6.6215,1.8221,0.0,0.0,0.0,0.0,0.0,0.0,9.1089,0.0,1.0
Cy71_CD45_D07_S523_comb,6.7119,0.8591700000000001,6.0994,0.0,9.2271,0.0,0.0,0.0,8.6361,6.2534,5.178,8.5405,7.0822,5.523,5.523,4.1536,6.8141,7.1278,0.0,0.0,1.0
Cy81_FNA_CD45_C12_S228_comb,0.0,8.3956,0.0,10.335,0.0,0.0,0.0,1.1157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4055,5.4247,8.0697,0.0,1.0
Cy74_CD45_D04_S424_comb,0.0,7.4666,7.3081,7.4194,8.8118,10.535,0.0,7.2391,9.0137,8.3717,0.0,7.8956,7.4445,8.2098,8.2098,0.0,0.0,0.0,9.8794,0.0,1.0
Cy74_CD45_C11_S419_comb,1.4340000000000002,0.0,9.0877,9.5023,7.4319,8.2932,0.0,0.0,0.0,7.5128,0.0,7.0234,0.0,6.2731,6.2731,5.8632,7.2461,0.0,8.0045,0.0,1.0
CY58_1_CD45_F01_S1021_comb,11.607999999999999,8.6475,10.873,8.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.655999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.4621,0.0,1.0
Cy81_FNA_CD45_D07_S235_comb,0.0,0.0,0.0,0.0,0.0,0.0,7.8204,0.0,0.0,0.0,0.0,6.6421,0.0,0.0,0.0,6.7037,4.5082,6.4492,6.6752,7.9116,1.0
