,PMEL,SERPINA3,TMSB4X,IFITM1,APOD,MIA,SPP1,DCT,IFI27,CD74,A2M,MT2A,DUSP1,ANXA1,APOC2,FOS,SERPINE2,IGFBP7,TM4SF1,CAPN3,group
Cy71_CD45_D08_S524_comb,8.7935,0.0,0.0,0.0,0.0,0.0,0.0,6.9888,4.3542,3.444,0.0,0.0,0.64893,0.0,0.0,7.0523,3.6037,5.4685,0.0,8.1209,2.0
Cy81_FNA_CD45_B01_S301_comb,0.0,7.9262,0.0,7.2682,4.295,4.3611,4.0053,0.0,0.0,0.0,6.3873,8.1786,6.3038,5.0647,0.0,4.8679,8.327,0.0,6.0876,0.0,2.0
Cy80_II_CD45_B07_S883_comb,9.2967,7.4872,0.0,6.899,8.7769,5.8392,0.0,0.0,6.0101,0.0,0.0,6.0699,5.3565,5.7382,2.6613,6.5036,8.007,4.486000000000001,5.6527,5.8628,2.0
Cy81_Bulk_CD45_B10_S118_comb,0.0,6.3451,4.5621,7.5923,0.0,6.3885,3.9163,0.9876799999999999,0.0,0.0,5.3911,8.1121,6.2087,4.8462,0.0,5.6272,7.6138,2.6754,5.018,0.0,2.0
Cy71_CD45_B05_S497_comb,7.5117,0.0,4.6746,4.4787,0.0,0.0,2.5573,3.7673,5.6004,0.0,2.8398,6.8645,6.4466,6.9912,3.5185,5.9437,6.2101,0.0,0.0,6.8708,2.0
Cy80_II_CD45_C09_S897_comb,8.2608,4.9392,7.5172,5.4196,6.2662,5.367000000000001,0.0,0.0,3.4558,0.0,3.3672,8.0204,0.0,8.2046,2.8313,4.4371,11.089,0.61542,0.0,4.7682,2.0
Cy81_FNA_CD45_E05_S341_comb,0.0,7.2631,0.0,8.304,6.586,5.835,6.4964,0.0,0.0,0.0,6.8189,6.6442,4.0396,6.0068,0.0,3.3559,8.7413,1.8131,4.4557,0.0,2.0
Cy81_Bulk_CD45_E10_S154_comb,0.0,4.8711,6.2626,6.5669,1.0144,7.2549,5.4622,0.0,0.0,2.7405,2.4962,8.7548,7.9973,6.7152,0.0,7.0463,7.0374,0.0,4.9751,0.0,2.0
Cy80_II_CD45_H07_S955_comb,10.162,7.2381,4.434,6.5299,9.6628,7.4972,0.0,0.0,4.8164,0.0,0.92979,7.1385,7.0696,6.6911,0.0,7.0767,9.3929,4.641,2.9809,6.901,2.0
Cy81_FNA_CD45_D09_S333_comb,0.0,5.9749,0.0,7.3557,6.2231,6.0157,7.4761,0.0,0.0,0.0,7.856,6.1348,4.8422,5.5037,0.0,3.8255,9.3798,0.0,6.7024,0.0,2.0
Cy71_CD45_E12_S540_comb,5.6999,0.0,2.9653,7.6715,5.2939,0.0,0.0,2.0854,8.4645,0.0,0.0,6.8741,4.9165,6.2862,0.0,8.218,5.7528,0.0,0.0,8.2281,2.0
