,SERPINA3,PMEL,DCT,IFITM1,APOD,A2M,IFI27,APOC2,RGS1,SPP1,CAPG,TM4SF1,TYR,CTSK,ANXA1,MIA,HSPA1A,CRYAB,GDF15,CAPN3,TSC22D3,FN1,DUSP1,HSPA1B,QPCT,APOE,EGR1,MT1X,S100A4,SERPINE2,NNMT,MLANA,FOS,CTSL1,MCAM,LHFPL3-AS1,APOC1,DDIT3,CRIP2,MT1E,TNFRSF12A,PRKCDBP,IER3,TMSB4X,S100A16,SELM,IGFBP7,LOXL4,NSG1,SLC20A1,MYC,CD74,BIRC7,SLC26A2,LOXL3,PLTP,RAB38,RCAN1,PLEKHB1,group
Cy81_FNA_CD45_B01_S301_comb,7.9262,0.0,0.0,7.2682,4.295,6.3873,0.0,0.0,0.0,4.0053,0.0,6.0876,0.0,0.0,5.0647,4.3611,4.7913,5.8457,0.0,0.0,0.6397,8.5959,6.3038,3.864,3.5722,4.8122,5.157,6.4622,4.3547,8.327,6.9472,1.8488,4.8679,2.6503,0.0,0.0,1.7874,3.9619,3.9646,0.0,0.0,6.6622,2.8918,0.0,6.0251,0.0,0.0,4.7817,0.0,7.4108,0.0,0.0,0.0,7.3307,0.0,5.6528,4.2124,7.6675,6.2861,1.0
Cy80_II_CD45_B07_S883_comb,7.4872,9.2967,0.0,6.899,8.7769,0.0,6.0101,2.6613,2.9121,0.0,7.7331,5.6527,6.0496,3.5826,5.7382,5.8392,3.8309,3.2456,0.0,5.8628,0.0,1.9701,5.3565,0.0,0.0,0.0,1.0909,3.5425,4.3919999999999995,8.007,4.2814,3.5572,6.5036,4.7457,0.0,4.9719,0.0,2.8556,0.0,2.3377,0.0,4.7156,1.3156,0.0,3.9058,7.1824,4.486000000000001,3.2759,3.0961,5.7794,5.6246,0.0,3.659,4.048,4.6347,5.377999999999999,5.4855,4.7102,4.0025,1.0
Cy81_Bulk_CD45_B10_S118_comb,6.3451,0.0,0.9876799999999999,7.5923,0.0,5.3911,0.0,0.0,0.0,3.9163,2.2038,5.018,0.0,5.0802,4.8462,6.3885,6.6428,5.6091,3.674,0.0,3.9483,6.4587,6.2087,6.547000000000001,1.6397,2.6826,4.1016,4.468999999999999,0.0,7.6138,3.4613,0.80405,5.6272,3.5978,0.19409,0.0,0.0,0.0,5.1037,2.96,0.0,6.9909,5.0633,4.5621,4.1843,0.0,2.6754,3.7361,0.0,4.765,0.0,0.0,0.0,4.5093,4.5848,4.0808,3.0842,5.4624,3.9684,1.0
Cy71_CD45_B05_S497_comb,0.0,7.5117,3.7673,4.4787,0.0,2.8398,5.6004,3.5185,0.0,2.5573,2.7429,0.0,6.227,4.0975,6.9912,0.0,0.0,0.0,7.0288,6.8708,4.7602,0.0,6.4466,0.0,0.0,6.9107,8.0878,0.0,0.0,6.2101,0.0,5.4697,5.9437,4.3022,2.8998,0.0,5.1528,3.2299,0.0,0.0,5.6892,0.0,0.0,4.6746,4.4539,0.0,0.0,0.0,2.7163,0.0,7.9599,0.0,5.167999999999999,1.8675,0.0,0.0,0.0,0.0,0.0,1.0
Cy80_II_CD45_C09_S897_comb,4.9392,8.2608,0.0,5.4196,6.2662,3.3672,3.4558,2.8313,3.5213,0.0,7.1891,0.0,6.4841,5.9303,8.2046,5.367000000000001,4.1098,4.3606,7.5956,4.7682,6.4476,4.5951,0.0,3.5192,3.4871,0.0,4.1439,5.295,5.8407,11.089,6.7317,4.6894,4.4371,8.632,0.0,0.0,1.3403,4.2669999999999995,4.0992,5.9209,7.308,3.3716,5.0293,7.5172,2.1352,7.851,0.61542,0.0,0.0,3.6774,0.0,0.0,5.9368,0.096262,0.0,6.5438,0.0,6.7593,3.1184,1.0
Cy81_FNA_CD45_E05_S341_comb,7.2631,0.0,0.0,8.304,6.586,6.8189,0.0,0.0,0.0,6.4964,0.0,4.4557,0.0,3.4247,6.0068,5.835,4.4234,6.2915,1.06,0.0,2.6173,9.3952,4.0396,3.491,5.1353,0.0,5.0116,4.6433,2.7811,8.7413,5.2802,0.0,3.3559,4.5702,0.0,0.0,2.1243,4.7059,3.6285,0.0,4.1436,5.1985,5.0636,0.0,6.2062,0.0,1.8131,4.0588,0.0,5.9495,0.0,0.0,0.0,5.2415,4.9096,5.2864,0.0,5.0857,5.6065,1.0
Cy81_Bulk_CD45_E10_S154_comb,4.8711,0.0,0.0,6.5669,1.0144,2.4962,0.0,0.0,0.0,5.4622,0.0,4.9751,0.0,0.38736,6.7152,7.2549,6.0528,5.8888,0.0,0.0,0.0,5.1227,7.9973,4.0292,0.0,0.0,7.4475,4.8962,0.0,7.0374,0.0,1.1063,7.0463,2.1821,0.042644,0.0,0.0,4.8209,5.7645,3.3125,0.0,6.9757,5.6663,6.2626,4.3587,0.0,0.0,2.6316,0.0,4.5972,0.0,2.7405,0.0,4.6794,6.8549,0.0,4.1718,5.1042,4.5241,1.0
Cy80_II_CD45_H07_S955_comb,7.2381,10.162,0.0,6.5299,9.6628,0.92979,4.8164,0.0,0.0,0.0,7.3545,2.9809,6.563,6.555,6.6911,7.4972,0.0,5.4877,0.0,6.901,5.1003,0.0,7.0696,0.0,0.0,0.0,5.457999999999999,5.5056,6.7795,9.3929,6.4318,6.8682,7.0767,0.0,0.0,5.1933,0.0,0.0,0.0,5.4909,0.0,0.0,0.0,4.434,0.0,5.8759,4.641,4.1686,0.63227,6.0792,4.3911,0.0,4.7238,2.8484,5.2231,4.669,6.5188,4.606,6.2375,1.0
Cy81_FNA_CD45_D09_S333_comb,5.9749,0.0,0.0,7.3557,6.2231,7.856,0.0,0.0,0.0,7.4761,0.0,6.7024,0.0,4.0727,5.5037,6.0157,3.1763,5.5156,0.0,0.0,0.0,8.6515,4.8422,0.0,2.1667,0.0,0.0,3.2768,0.0,9.3798,5.8822,0.71017,3.8255,5.8589,0.0,0.0,0.0,4.2605,0.0,0.0,0.0,3.4411,0.0,0.0,6.6349,4.2866,0.0,0.0,0.0,5.8146,0.0,0.0,0.0,0.0,4.507,5.669,0.0,4.9603,4.3919999999999995,1.0
Cy71_CD45_E12_S540_comb,0.0,5.6999,2.0854,7.6715,5.2939,0.0,8.4645,0.0,0.0,0.0,0.0,0.0,5.7574,0.0,6.2862,0.0,0.0,4.8276,5.3231,8.2281,3.8077,0.0,4.9165,0.0,0.0,5.4619,6.5451,0.0,2.9214,5.7528,0.0,7.1126,8.218,5.6099,3.7703,0.0,4.3949,5.0168,4.864,0.0,0.0,0.0,0.0,2.9653,0.0,0.0,0.0,4.1712,3.0873,4.5239,5.4422,0.0,6.686,0.36849,0.0,2.8844,4.1228,5.3644,5.4224,1.0
