,PMEL,MIA,APOD,SERPINA3,MT2A,IFI27,DCT,SLC45A2,TYR,APOC2,CAPN3,APOE,TIMP1,SPP1,CDK4,HEBP1,ANXA1,IFI6,GDF15,CRYAB,TSC22D3,S100B,A2M,HSPA1A,CTSK,DUSP1,IFITM1,HSPA1B,FOS,MT1X,SERPINE2,CYC1,S100A6,MRPS6,LGALS3BP,QPCT,ALG8,SGK1,WARS,NDUFA13,TMSB4X,PWP1,TM4SF1,PDCD6,DUSP6,LHFPL3-AS1,PSMB3,CST3,DDIT3,TUBA1A,NME1,COX7B,NEDD8,APOC1,UQCRH,IMPDH2,SLC25A5,GAS5,ATP5I,group
Cy71_CD45_D08_S524_comb,8.7935,0.0,0.0,0.0,0.0,4.3542,6.9888,4.1634,4.9296,0.0,8.1209,7.5636,0.0,0.0,0.0,3.9743,0.0,1.3033,0.0,0.0,0.0,0.0,0.0,1.7433,4.2864,0.64893,0.0,0.0,7.0523,0.0,3.6037,4.4308,4.5318,0.0,8.5374,0.0,0.0,0.0,4.0108,6.2445,0.0,0.0,0.0,5.2449,5.4216,3.0122,4.3771,5.6131,5.4559,4.8106,6.1157,3.3098,0.0,7.7088,5.7421,6.6986,6.502000000000001,10.119,5.9972,2.0
Cy71_CD45_G02_S554_comb,10.007,0.0,5.4014,0.0,4.3805,7.2008,5.2934,0.0,6.2839,0.0,8.7621,5.3351,0.0,0.0,4.3927,0.0,0.0,3.52,8.2497,8.0876,0.0,7.6888,0.0,0.0,1.3277,7.0509,7.9065,0.0,9.2907,0.0,5.7288,0.0,5.3418,0.0,7.9547,0.0,5.2805,1.4228,7.569,5.5598,1.7736,0.0,0.0,6.1605,7.7186,0.0,5.0173,4.8836,6.7575,4.9502,5.9636,5.3297,5.3215,4.8647,7.0836,6.2412,5.3645,9.7952,0.0,2.0
Cy81_FNA_CD45_G10_S370_comb,0.0,6.7662,5.2327,5.6798,6.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1436,5.7673,5.2658,0.0,5.4704,0.0,0.0,6.6183,0.0,8.2788,6.6248,5.3567,3.5763,6.2962,0.0,0.0,0.0,0.0,8.8427,0.0,7.3697,5.4431,4.1902,7.015,6.76,5.3702,0.0,7.7842,5.224,0.0,5.9017,7.4746,6.3683,0.0,5.8918,5.8454,5.6031,0.0,6.3607,0.0,5.2351,0.0,7.1069,5.5858,4.9551,7.1863,0.0,2.0
Cy71_CD45_H06_S570_comb,0.0,0.0,1.5261,0.0,5.3233,7.4293,3.4206,0.0,0.0,0.0,6.6657,0.0,0.0,0.0,3.5689,0.0,4.8379,5.3368,0.0,0.0,0.0,6.1341,0.0,0.0,0.0,5.5658,4.2332,0.0,7.0132,5.3894,0.0,5.4223,0.0,0.0,6.765,0.0,0.0,0.0,8.8348,7.2624,0.0,3.7783,0.0,3.6899,0.5109600000000001,0.0,6.7267,0.0,4.0638,4.1275,7.6405,4.4967,3.5881,3.838,7.1174,6.3582,6.8725,8.8621,5.4641,2.0
Cy71_CD45_G09_S561_comb,1.1648,0.0,0.0,0.0,6.4046,5.5036,0.0,0.0,6.9945,0.0,0.0,0.0,3.573,0.0,0.0,1.5874,3.2555,5.9876,0.0,0.0,0.0,5.0535,0.0,5.3582,0.0,5.903,7.8408,0.0,4.1902,0.0,4.1718,6.1911,4.7933,0.0,9.1078,0.0,0.0,0.0,10.064,6.5961,0.0,0.0,0.0,0.0,5.6422,0.0,6.6876,4.3771,0.0,7.0466,6.8676,4.7017,4.9396,0.0,5.7357,3.2287,5.9396,7.4659,0.0,2.0
Cy81_FNA_CD45_B10_S310_comb,0.0,4.8803,4.9108,5.7961,8.9041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6001,6.2925,4.8727,0.0,6.3574,0.0,0.0,4.001,0.0,5.9491,7.3247,2.6309,0.0,5.922000000000001,7.0808,0.0,0.0,6.0674,6.6985,3.8589,4.7197,6.9288,0.0,0.0,0.0,4.4575,0.0,5.0917,0.0,4.9988,5.281000000000001,6.8041,5.2006,0.0,5.0332,6.8497,8.3584,3.8268,6.4724,0.0,4.1564,0.0,0.0,5.5379,5.9874,8.0298,5.0514,2.0
Cy71_CD45_H10_S574_comb,0.0,0.0,5.5452,0.0,0.0,6.6457,7.2949,3.9959,5.7922,0.0,6.6984,4.394,0.0,0.0,4.6677,0.0,0.0,4.4413,0.0,0.0,0.0,6.1999,0.0,0.0,0.0,5.9664,0.0,0.0,7.6044,0.0,1.7828,5.8656,2.9136,0.0,7.88,2.8781,0.0,0.0,6.7344,6.1841,0.0,3.5718,0.0,3.7059,5.5506,2.3592,5.5137,4.1654,5.9787,5.9654,6.968999999999999,6.0214,3.0451,0.0,6.292000000000001,7.1877,5.931,9.4466,5.8556,2.0
Cy81_Bulk_CD45_C06_S126_comb,0.0,0.0,4.4513,7.7641,9.5819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811,8.3469,3.3244,0.0,6.2757,0.0,0.0,7.2506,5.5089,5.2337,6.7928,0.0,0.0,7.7469,8.307,0.0,8.3002,7.2292,8.0738,0.0,6.6974,6.5826,0.0,0.0,4.8007,6.2754,0.0,7.2506,0.0,5.5789,6.6223,7.7057,4.8454,0.0,0.0,5.8021,3.846,4.3045,4.551,5.4493,0.0,0.0,6.2044,5.031000000000001,5.0016,8.5195,4.6112,2.0
Cy81_Bulk_CD45_B01_S109_comb,0.0,0.71282,0.0,8.1792,10.527000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5974,6.376,0.46676000000000006,3.88,0.0,0.0,0.0,7.4548,4.1792,6.0122,2.8104,0.0,0.0,4.9585,9.2347,0.0,7.2924,9.1689,8.3482,0.0,6.7294,8.8887,4.1561,0.0,0.0,5.678,0.0,7.6759,0.0,0.10969000000000001,7.3265,8.8233,0.0,0.0,5.7512,5.6234,6.0933,0.0,0.0,0.0,3.3397,0.0,5.0609,5.5598,0.0,8.0172,7.122999999999999,2.0
Cy71_CD45_E10_S538_comb,7.9218,0.0,0.0,0.0,6.2785,6.7481,5.8409,0.0,7.0909,0.0,8.1331,6.7377,0.0,0.0,0.0,0.0,5.5157,5.0079,0.0,0.0,4.7681,7.9555,0.0,0.0,0.0,6.5323,4.9097,0.0,8.1563,0.0,0.0,4.6236,0.0,0.0,8.0892,0.0,0.0,0.0,8.048,6.6882,0.0,4.5671,0.0,1.0772,6.2573,2.2333,5.9248,4.9036,6.5853,7.2398,4.3486,4.1145,5.6248,6.7442,5.8604,6.7298,7.6806,9.4627,5.626,2.0
